model_role,condition,controller_kind,C,C_ci_lower,C_ci_upper,accuracy_change,rescue,damage
Qwen,MEANINGFUL_FIXED,meaningful,0.0543546365915,0.0144110275689,0.0968045112782,0.0614035087719,0.105263157895,0.0438596491228
Qwen,RANDOM_R0,random,0.0241228070175,,,-0.0263157894737,0.0263157894737,0.0526315789474
Qwen,RANDOM_R1,random,0.0140977443609,,,-0.00877192982456,0.0263157894737,0.0350877192982
Qwen,RANDOM_R2,random,0.016369047619,,,0.0263157894737,0.0482456140351,0.0219298245614
Qwen,RANDOM_R3,random,0.00798872180451,,,0.0175438596491,0.0350877192982,0.0175438596491
Qwen,RANDOM_MEAN,random_mean,0.0156445802005,,,,,
Ministral,MEANINGFUL_FIXED,meaningful,0.0729949874687,0.0217731829574,0.122808975564,0.0789473684211,0.149122807018,0.0701754385965
Ministral,RANDOM_R0,random,-0.00407268170426,,,0,0.0394736842105,0.0394736842105
Ministral,RANDOM_R1,random,0.015742481203,,,-0.0350877192982,0.0438596491228,0.0789473684211
Ministral,RANDOM_R2,random,0.00297619047619,,,-0.0263157894737,0.0350877192982,0.0614035087719
Ministral,RANDOM_R3,random,0.015664160401,,,0.0263157894737,0.0701754385965,0.0438596491228
Ministral,RANDOM_MEAN,random_mean,0.00757753759398,,,,,
