model_role,item_index,item_id,condition,error_rollout_0,error_rollout_1,q_hat_error,invalid_rollouts,valid_error_rollouts
Qwen,1,sample_58,BASELINE,1,1,1,0,2
Qwen,1,sample_58,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,2,sample_54,BASELINE,1,1,1,0,2
Qwen,2,sample_54,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,3,sample_140,BASELINE,1,1,1,0,2
Qwen,3,sample_140,MEANINGFUL_FIXED,1,1,1,1,1
Qwen,4,sample_152,BASELINE,0,0,0,0,0
Qwen,4,sample_152,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,5,sample_412,BASELINE,0,0,0,0,0
Qwen,5,sample_412,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,6,sample_144,BASELINE,0,0,0,0,0
Qwen,6,sample_144,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,7,sample_661,BASELINE,1,1,1,0,2
Qwen,7,sample_661,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,8,sample_67,BASELINE,1,1,1,0,2
Qwen,8,sample_67,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,9,sample_217,BASELINE,0,0,0,0,0
Qwen,9,sample_217,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,10,sample_677,BASELINE,1,1,1,0,2
Qwen,10,sample_677,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,11,sample_568,BASELINE,1,1,1,0,2
Qwen,11,sample_568,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,12,sample_466,BASELINE,1,0,0.5,0,1
Qwen,12,sample_466,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,13,sample_101,BASELINE,1,1,1,0,2
Qwen,13,sample_101,MEANINGFUL_FIXED,1,1,1,0,2
Qwen,14,sample_480,BASELINE,1,1,1,2,0
Qwen,14,sample_480,MEANINGFUL_FIXED,1,0,0.5,1,0
Qwen,15,sample_36,BASELINE,0,0,0,0,0
Qwen,15,sample_36,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,16,sample_105,BASELINE,0,0,0,0,0
Qwen,16,sample_105,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,17,sample_82,BASELINE,1,1,1,0,2
Qwen,17,sample_82,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,18,sample_508,BASELINE,0,0,0,0,0
Qwen,18,sample_508,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,19,sample_290,BASELINE,1,1,1,0,2
Qwen,19,sample_290,MEANINGFUL_FIXED,0,1,0.5,0,1
Qwen,20,sample_7,BASELINE,0,0,0,0,0
Qwen,20,sample_7,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,21,sample_475,BASELINE,0,0,0,0,0
Qwen,21,sample_475,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,22,sample_187,BASELINE,0,0,0,0,0
Qwen,22,sample_187,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,23,sample_143,BASELINE,0,0,0,0,0
Qwen,23,sample_143,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,24,sample_787,BASELINE,0,0,0,0,0
Qwen,24,sample_787,MEANINGFUL_FIXED,0,0,0,0,0
Qwen,25,sample_711,BASELINE,1,1,1,0,2
Qwen,25,sample_711,MEANINGFUL_FIXED,1,1,1,0,2
