stage,condition,duration,D,validity
Gate 4,PLUS,one-shot,0,
Gate 4,MINUS,one-shot,0.02,
Gate 4,RANDOM,one-shot,0,
Gate 5,ONE_SHOT_PLUS,one-shot,0.0333333333333,0.975
Gate 5,ONE_SHOT_MINUS,one-shot,-0.0166666666667,0.983333333333
Gate 5,SUSTAINED_PLUS,sustained,0.0166666666667,0.983333333333
Gate 5,SUSTAINED_MINUS,sustained,0.0333333333333,0.983333333333
Gate 5,SUSTAINED_RANDOM_R0,sustained,0,0.983333333333
Gate 5,SUSTAINED_RANDOM_R1,sustained,0.0333333333333,0.983333333333
Gate 5,SUSTAINED_RANDOM_R2,sustained,0.0166666666667,0.983333333333
Gate 5,SUSTAINED_RANDOM_R3,sustained,0.0333333333333,0.983333333333
