model_role,stage,condition,controller_kind,C
Qwen,DEVELOPMENT,MEANINGFUL,meaningful,0.0643434343434
Qwen,DEVELOPMENT,RANDOM_R0,random,0.005
Qwen,DEVELOPMENT,RANDOM_R1,random,-0.00464646464646
Qwen,DEVELOPMENT,RANDOM_R2,random,-0.000808080808081
Qwen,DEVELOPMENT,RANDOM_R3,random,0.00974747474747
Ministral,DEVELOPMENT,MEANINGFUL,meaningful,0.0940151515152
Ministral,DEVELOPMENT,RANDOM_R0,random,0.0229797979798
Ministral,DEVELOPMENT,RANDOM_R1,random,0.0361868686869
Ministral,DEVELOPMENT,RANDOM_R2,random,0.0111616161616
Ministral,DEVELOPMENT,RANDOM_R3,random,0.0106060606061
Qwen,CONFIRMATORY,MEANINGFUL,meaningful,0.0543546365915
Qwen,CONFIRMATORY,RANDOM_R0,random,0.0241228070175
Qwen,CONFIRMATORY,RANDOM_R1,random,0.0140977443609
Qwen,CONFIRMATORY,RANDOM_R2,random,0.016369047619
Qwen,CONFIRMATORY,RANDOM_R3,random,0.00798872180451
Ministral,CONFIRMATORY,MEANINGFUL,meaningful,0.0729949874687
Ministral,CONFIRMATORY,RANDOM_R0,random,-0.00407268170426
Ministral,CONFIRMATORY,RANDOM_R1,random,0.015742481203
Ministral,CONFIRMATORY,RANDOM_R2,random,0.00297619047619
Ministral,CONFIRMATORY,RANDOM_R3,random,0.015664160401
