model_role,left_out_item_id,C,delta_C_nullmean,G,D,item_index
Qwen,sample_58,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,1
Qwen,sample_54,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,2
Qwen,sample_140,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,3
Qwen,sample_152,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,4
Qwen,sample_412,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,5
Qwen,sample_144,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,6
Qwen,sample_661,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,7
Qwen,sample_67,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,8
Qwen,sample_217,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,9
Qwen,sample_677,0.0477272727273,0.0317775974026,0.0714285714286,0.0714285714286,10
Qwen,sample_568,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,11
Qwen,sample_466,0.0591720779221,0.0386363636364,0.0982142857143,0.0892857142857,12
Qwen,sample_101,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,13
Qwen,sample_480,0.0517857142857,0.0429383116883,0.0803571428571,0.0892857142857,14
Qwen,sample_36,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,15
Qwen,sample_105,0.0547077922078,0.0400974025974,0.0892857142857,0.0892857142857,16
Qwen,sample_82,0.0477272727273,0.0317775974026,0.0714285714286,0.0714285714286,17
Qwen,sample_508,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,18
Qwen,sample_290,0.0517857142857,0.035836038961,0.0803571428571,0.0892857142857,19
Qwen,sample_7,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,20
Qwen,sample_475,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,21
Qwen,sample_187,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,22
Qwen,sample_143,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,23
Qwen,sample_787,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,24
Qwen,sample_711,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,25
Qwen,sample_644,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,26
Qwen,sample_735,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,27
Qwen,sample_236,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,28
Qwen,sample_612,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,29
Qwen,sample_488,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,30
Qwen,sample_102,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,31
Qwen,sample_788,0.0558441558442,0.0419237012987,0.0892857142857,0.0892857142857,32
Qwen,sample_641,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,33
Qwen,sample_229,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,34
Qwen,sample_146,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,35
Qwen,sample_385,0.0517857142857,0.0368506493506,0.0803571428571,0.0892857142857,36
Qwen,sample_106,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,37
Qwen,sample_435,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,38
Qwen,sample_558,0.0517857142857,0.035836038961,0.0803571428571,0.0892857142857,39
Qwen,sample_148,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,40
Qwen,sample_116,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,41
Qwen,sample_71,0.0517857142857,0.035836038961,0.0803571428571,0.0892857142857,42
Qwen,sample_22,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,43
Qwen,sample_25,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,44
Qwen,sample_131,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,45
Qwen,sample_598,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,46
Qwen,sample_238,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,47
Qwen,sample_461,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,48
Qwen,sample_108,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,49
Qwen,sample_723,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,50
Qwen,sample_683,0.0547077922078,0.0387987012987,0.0892857142857,0.0892857142857,51
Qwen,sample_298,0.0443181818182,0.0375,0.0892857142857,0.0714285714286,52
Qwen,sample_1,0.0558441558442,0.0398944805195,0.0892857142857,0.0892857142857,53
Qwen,sample_652,0.0603084415584,0.0396306818182,0.0892857142857,0.0892857142857,54
Qwen,sample_587,0.0443181818182,0.0297077922078,0.0892857142857,0.0714285714286,55
Qwen,sample_242,0.0477272727273,0.0317775974026,0.0714285714286,0.0714285714286,56
Qwen,sample_26,0.0547077922078,0.0426948051948,0.0892857142857,0.0892857142857,57
Ministral,sample_58,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,1
Ministral,sample_54,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,2
Ministral,sample_140,0.0751623376623,0.0675324675325,0.107142857143,0.107142857143,3
Ministral,sample_152,0.0737012987013,0.0659090909091,0.107142857143,0.107142857143,4
Ministral,sample_412,0.0782467532468,0.0660714285714,0.107142857143,0.107142857143,5
Ministral,sample_144,0.069724025974,0.0619318181818,0.107142857143,0.107142857143,6
Ministral,sample_661,0.0646103896104,0.0569805194805,0.0892857142857,0.0892857142857,7
