model_role,condition,mean_tokens,median_tokens,max_tokens,interpretation
Qwen,BASELINE,10.9736842105,6,41,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Qwen,TEXTUAL_CAREFUL,290.736842105,228,1201,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Qwen,MEANINGFUL_FIXED,138.00877193,15,1137,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Qwen,RANDOM_R0,10.9035087719,6,41,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Qwen,RANDOM_R1,10.7368421053,6,41,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Qwen,RANDOM_R2,11.0175438596,6,41,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Qwen,RANDOM_R3,10.9649122807,6,41,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Ministral,BASELINE,214.850877193,12.5,2991,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Ministral,TEXTUAL_CAREFUL,609.789473684,340.5,4096,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Ministral,MEANINGFUL_FIXED,472.201754386,247,4096,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Ministral,RANDOM_R0,211.114035088,12.5,2589,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Ministral,RANDOM_R1,173.00877193,8.5,3191,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Ministral,RANDOM_R2,197.640350877,10.5,2044,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
Ministral,RANDOM_R3,279.657894737,23,4096,CORRELATE_POSSIBLE_MEDIATOR_NOT_ESTABLISHED_CAUSE
