metric,dropped_index,dropped_controller,medium_rho,strong_rho,aggregate_rho
A0,0,V4_DIRECTION_00,0.559634364724091,0.570847321676179,0.565240843200135
A0,1,V4_DIRECTION_01,0.548337303285523,0.577096657894772,0.562716980590148
A0,2,V4_DIRECTION_02,0.56714319875189,0.574229353955699,0.570686276353795
A0,3,V4_DIRECTION_03,0.557882521406773,0.562875552225636,0.560379036816204
A0,4,V4_DIRECTION_04,0.554347664488674,0.561885599688417,0.558116632088546
A0,5,V4_DIRECTION_06,0.574630928984425,0.594781559542729,0.584706244263577
A0,6,V4_DIRECTION_07,0.570545211853845,0.575302737003065,0.572923974428455
A0,7,V4_DIRECTION_08,0.55556062575592,0.608024613966261,0.581792619861091
A0,8,V4_DIRECTION_09,0.547716571704559,0.567683968046421,0.55770026987549
A0,9,V4_DIRECTION_10,0.572797185640011,0.577524488722268,0.57516083718114
A0,10,V4_DIRECTION_11,0.545346715612106,0.586585177977149,0.565965946794627
A0,11,V4_DIRECTION_13,0.543309946454443,0.557543513190357,0.5504267298224
A0,12,V4_DIRECTION_15,0.548910981882902,0.562205696299504,0.555558339091203
A0,13,V4_DIRECTION_17,0.544713838486786,0.583646521692235,0.564180180089511
A0,14,V4_DIRECTION_18,0.575099111104737,0.575806240752831,0.575452675928784
A0,15,V4_DIRECTION_19,0.560084055348656,0.589171314422532,0.574627684885594
A0,16,V4_DIRECTION_20,0.547570979356159,0.568974916056277,0.558272947706218
A0,17,V4_DIRECTION_22,0.556609795625172,0.578193415872815,0.567401605748994
A0,18,V4_DIRECTION_23,0.542384158926708,0.554539915664086,0.548462037295397
A0,19,V4_DIRECTION_24,0.55553774116063,0.580179941012727,0.567858841086679
A0,20,V4_DIRECTION_26,0.538285098811661,0.554296986689916,0.546291042750788
A0,21,V4_DIRECTION_28,0.549566433042492,0.56103160678653,0.555299019914511
A0,22,V4_DIRECTION_29,0.557685533509327,0.566358688379575,0.562022110944451
A0,23,V4_DIRECTION_30,0.557387130071459,0.58445997537607,0.570923552723764
A0,24,V4_DIRECTION_31,0.55170040472973,0.56500337549946,0.558351890114595
A0,25,V4_DIRECTION_32,0.538829725429548,0.563392478457577,0.551111101943563
A0,26,V4_DIRECTION_33,0.557900978890208,0.578313244230782,0.568107111560495
A0,27,V4_DIRECTION_34,0.559477844857768,0.567205976246829,0.563341910552299
A0,28,V4_DIRECTION_35,0.546299326160201,0.574434610879755,0.560366968519978
A0,29,V4_DIRECTION_37,0.556708493190945,0.563760171964745,0.560234332577845
A0,30,V4_DIRECTION_39,0.567290309604165,0.580327020425253,0.573808665014709
A1,0,V4_DIRECTION_00,0.557897961468182,0.552459375661817,0.555178668564999
A1,1,V4_DIRECTION_01,0.549151818658039,0.56370458630553,0.556428202481785
A1,2,V4_DIRECTION_02,0.568185727997032,0.560529530568406,0.564357629282719
A1,3,V4_DIRECTION_03,0.559011428334535,0.547660569801418,0.553335999067976
A1,4,V4_DIRECTION_04,0.55308922557099,0.546655526166546,0.549872375868768
A1,5,V4_DIRECTION_06,0.571902297484495,0.577377014634689,0.574639656059592
A1,6,V4_DIRECTION_07,0.568607400198065,0.560838626681333,0.564723013439699
A1,7,V4_DIRECTION_08,0.555050806635253,0.592342679884359,0.573696743259806
A1,8,V4_DIRECTION_09,0.545053908072016,0.551581073853831,0.548317490962924
A1,9,V4_DIRECTION_10,0.570501611017421,0.560376525103053,0.565439068060237
A1,10,V4_DIRECTION_11,0.544343987851385,0.57128906438746,0.557816526119423
A1,11,V4_DIRECTION_13,0.543355942523933,0.542909488455943,0.543132715489938
A1,12,V4_DIRECTION_15,0.549769305868873,0.547058651373882,0.548413978621377
