controller_order_index,controller_id,shape_strong_minus_medium,total_strong_minus_medium,ordering_rule
0,V4_DIRECTION_00,0.022742474916388,0.0233333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
1,V4_DIRECTION_01,0.0199777034559643,0.02,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
2,V4_DIRECTION_02,0.0448383500557414,0.0433333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
3,V4_DIRECTION_03,0.0558528428093646,0.0566666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
4,V4_DIRECTION_04,0.0467558528428094,0.0466666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
5,V4_DIRECTION_06,0.0452619843924192,0.0466666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
6,V4_DIRECTION_07,0.0440579710144928,0.0433333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
7,V4_DIRECTION_08,0.0300445930880713,0.03,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
8,V4_DIRECTION_09,0.0624414715719064,0.0633333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
9,V4_DIRECTION_10,0.0368115942028985,0.0366666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
10,V4_DIRECTION_11,0.0334336677814939,0.0333333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
11,V4_DIRECTION_13,0.0668784838350056,0.0666666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
12,V4_DIRECTION_15,0.0390635451505017,0.04,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
13,V4_DIRECTION_17,0.0407692307692308,0.04,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
14,V4_DIRECTION_18,0.0257859531772575,0.0266666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
15,V4_DIRECTION_19,0.00391304347826087,0.00333333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
16,V4_DIRECTION_20,0.0465997770345596,0.0466666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
17,V4_DIRECTION_22,0.0457971014492754,0.0466666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
18,V4_DIRECTION_23,0.0257302118171683,0.0266666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
19,V4_DIRECTION_24,0.03041248606466,0.03,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
20,V4_DIRECTION_26,0.027603121516165,0.0266666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
21,V4_DIRECTION_28,0.0188405797101449,0.02,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
22,V4_DIRECTION_29,0.0565663322185061,0.0566666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
23,V4_DIRECTION_30,0.0470457079152731,0.0466666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
24,V4_DIRECTION_31,0.0434894091415831,0.0433333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
25,V4_DIRECTION_32,0.0632107023411371,0.0633333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
26,V4_DIRECTION_33,0.059933110367893,0.06,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
27,V4_DIRECTION_34,0.0298216276477146,0.03,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
28,V4_DIRECTION_35,0.0627313266443701,0.0633333333333333,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
29,V4_DIRECTION_37,0.0470234113712374,0.0466666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
30,V4_DIRECTION_39,0.0449832775919732,0.0466666666666667,FROZEN_CONTROLLER_ORDER_NOT_OUTCOME_SORTED
