controller_order,controller_id,medium_rho,strong_rho,equal_shell_r_i,primary_positive
1,Q2_OOS_V2_DIRECTION_01,0.7573344125593251,0.7721774193548387,0.7647559159570819,true
2,Q2_OOS_V2_DIRECTION_02,0.4560483870967742,0.5709677419354838,0.513508064516129,true
3,Q2_OOS_V2_DIRECTION_03,0.5434015553374284,0.40044359513919586,0.47192257523831216,true
4,Q2_OOS_V2_DIRECTION_04,0.8064516129032258,0.8625,0.8344758064516129,true
5,Q2_OOS_V2_DIRECTION_05,0.6879725813771079,0.5415322580645161,0.6147524197208121,true
6,Q2_OOS_V2_DIRECTION_06,0.790200629078806,0.7375,0.763850314539403,true
7,Q2_OOS_V2_DIRECTION_07,0.720435531436227,0.7612903225806451,0.740862927008436,true
8,Q2_OOS_V2_DIRECTION_08,0.6413953052053283,0.8008871902783917,0.72114124774186,true
9,Q2_OOS_V2_DIRECTION_09,0.6358870967741935,0.6524193548387097,0.6441532258064516,true
10,Q2_OOS_V2_DIRECTION_11,0.7014820077992258,0.7685483870967742,0.7350151974479999,true
11,Q2_OOS_V2_DIRECTION_13,0.7826612903225807,0.6241935483870967,0.7034274193548387,true
12,Q2_OOS_V2_DIRECTION_14,0.8641129032258065,0.7729838709677419,0.8185483870967742,true
13,Q2_OOS_V2_DIRECTION_15,0.44314516129032255,0.4754032258064516,0.45927419354838706,true
14,Q2_OOS_V2_DIRECTION_16,0.8204456136059355,0.8237903225806451,0.8221179680932903,true
15,Q2_OOS_V2_DIRECTION_17,0.8063312874932751,0.6520818664049142,0.7292065769490946,true
16,Q2_OOS_V2_DIRECTION_18,0.776892835886869,0.6653225806451613,0.7211077082660151,true
