controller_i_order,controller_j_order,controller_i,controller_j,A0_medium,Dshape_medium,A0_strong,Dshape_strong
1,2,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_02,1.2743256849049658,0.060066889632107025,1.2743256849049658,0.13642140468227423
1,3,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_03,0.5123101073592269,0.009955406911928652,0.5123101073592269,0.04677814938684504
1,4,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_04,1.036577317989908,0.04237458193979934,1.036577317989908,0.09355629877369008
1,5,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_05,1.16005185956989,0.06033444816053511,1.16005185956989,0.10369007803790413
1,6,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_06,0.6336279228740196,0.02971014492753623,0.6336279228740196,0.0869119286510591
1,7,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_07,1.2917319759851842,0.05295429208472687,1.2917319759851842,0.13016722408026757
1,8,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_08,0.5692054263028451,0.016711259754738014,0.5692054263028451,0.06702341137123746
1,9,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_09,1.4029417253583072,0.04004459308807135,1.4029417253583072,0.1250836120401338
1,10,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_11,1.0332858528382547,0.020066889632107024,1.0332858528382547,0.09539576365663321
1,11,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_13,1.074512936472344,0.04666666666666667,1.074512936472344,0.0928428093645485
1,12,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_14,1.0459335754503547,0.049765886287625426,1.0459335754503547,0.12040133779264213
1,13,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_15,1.1740146047475706,0.04659977703455965,1.1740146047475706,0.09012263099219621
1,14,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_16,0.6290250102587929,0.030011148272017837,0.6290250102587929,0.07331103678929766
1,15,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_17,1.44995083504595,0.06345596432552955,1.44995083504595,0.1103010033444816
1,16,Q2_OOS_V2_DIRECTION_01,Q2_OOS_V2_DIRECTION_18,0.9899706039486685,0.052575250836120406,0.9899706039486685,0.08321070234113712
2,3,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_03,1.6619636747683013,0.07024526198439243,1.6619636747683013,0.10920847268673355
2,4,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_04,1.27040703563069,0.04317725752508361,1.27040703563069,0.12012263099219621
2,5,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_05,0.6078285448051222,0.05331103678929766,0.6078285448051222,0.11304347826086956
2,6,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_06,1.237106480779926,0.05682274247491638,1.237106480779926,0.10997770345596433
2,7,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_07,0.9876841443846216,0.046688963210702344,0.9876841443846216,0.1271571906354515
2,8,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_08,1.3000575407934847,0.0467670011148272,1.3000575407934847,0.13654403567447043
2,9,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_09,1.4197732517064736,0.06309921962095875,1.4197732517064736,0.15016722408026756
2,10,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_11,1.1606021525965864,0.04356744704570792,1.1606021525965864,0.13694537346711258
2,11,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_13,1.1610781057187138,0.06943143812709031,1.1610781057187138,0.1307469342251951
2,12,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_14,1.3812020871971045,0.060133779264214045,1.3812020871971045,0.1266220735785953
2,13,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_15,0.9835844930269523,0.050189520624303235,0.9835844930269523,0.1068561872909699
2,14,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_16,1.321858770524228,0.05975473801560758,1.321858770524228,0.11521739130434783
2,15,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_17,0.4448828531116694,0.02350055741360089,0.4448828531116694,0.10234113712374582
2,16,Q2_OOS_V2_DIRECTION_02,Q2_OOS_V2_DIRECTION_18,0.5409708144038599,0.0431438127090301,0.5409708144038599,0.08037904124860647
3,4,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_04,0.7859335247242233,0.039910813823857305,0.7859335247242233,0.0565886287625418
3,5,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_05,1.3469858827647863,0.05997770345596432,1.3469858827647863,0.09692307692307692
3,6,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_06,0.45274064700941263,0.04682274247491639,0.45274064700941263,0.08341137123745819
3,7,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_07,0.8310600932119234,0.04,0.8310600932119234,0.06618729096989966
3,8,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_08,1.014573213631069,0.026755852842809368,1.014573213631069,0.0802675585284281
3,9,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_09,0.9106604574211815,0.023043478260869565,0.9106604574211815,0.10761426978818284
3,10,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_11,0.8403084011833966,0.006722408026755853,0.8403084011833966,0.07464882943143812
3,11,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_13,0.9360199888063089,0.05939799331103678,0.9360199888063089,0.08994425863991082
3,12,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_14,0.8503891174492916,0.060133779264214045,0.8503891174492916,0.10360089186176143
3,13,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_15,0.6939832827706609,0.04020066889632107,0.6939832827706609,0.08316610925306578
3,14,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_16,0.8811112467911311,0.026387959866220737,0.8811112467911311,0.060133779264214045
3,15,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_17,1.570597602705004,0.07709030100334448,1.570597602705004,0.09698996655518394
3,16,Q2_OOS_V2_DIRECTION_03,Q2_OOS_V2_DIRECTION_18,1.4018605466356362,0.049832775919732446,1.4018605466356362,0.06934225195094762
4,5,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_05,1.4458961732959479,0.08595317725752509,1.4458961732959479,0.11700111482720178
4,6,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_06,0.6938166434313915,0.04,0.6938166434313915,0.06354515050167224
4,7,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_07,0.1851612357123733,0.0368561872909699,0.1851612357123733,0.04354515050167224
4,8,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_08,0.5717794358489074,0.035897435897435895,0.5717794358489074,0.0803567447045708
4,9,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_09,1.1557607699382704,0.041594202898550724,1.1557607699382704,0.10245261984392419
4,10,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_11,0.7289867780435153,0.026878483835005577,0.7289867780435153,0.09274247491638797
4,11,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_13,1.373501243015391,0.06802675585284282,1.373501243015391,0.11224080267558527
4,12,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_14,0.39444229632361394,0.03678929765886288,0.39444229632361394,0.08024526198439241
4,13,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_15,1.2770155752699075,0.036477146042363434,1.2770155752699075,0.09364548494983278
4,14,Q2_OOS_V2_DIRECTION_04,Q2_OOS_V2_DIRECTION_16,1.008196201554342,0.0449386845039019,1.008196201554342,0.0862876254180602
