omitted_controller,mean,median,positive_count,p_value,positive_sign_pass
Q2_OOS_V2_DIRECTION_01,0.6862242687852943,0.72114124774186,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_02,0.7029741255480245,0.7292065769490946,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_03,0.7057464914998789,0.7292065769490946,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_04,0.681576276085659,0.72114124774186,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_05,0.6962245018677123,0.7292065769490946,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_06,0.6862846422131397,0.72114124774186,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_07,0.687817134715204,0.72114124774186,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_08,0.6891319133329757,0.7292065769490946,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_09,0.6942644481286696,0.7292065769490946,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_11,0.6882069833525665,0.72114124774186,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_13,0.6903128352254438,0.7292065769490946,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_14,0.6826381040426482,0.72114124774186,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_15,0.706589716945874,0.7292065769490946,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_16,0.6824001319762139,0.72114124774186,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_17,0.6885942247191602,0.72114124774186,15,3.0517578125e-05,True
Q2_OOS_V2_DIRECTION_18,0.6891341492980322,0.7292065769490946,15,3.0517578125e-05,True
