bin_type,bin_label,n_items,baseline_error_rate,meaningful_error_rate,rescue,damage
alphabet_size,12,1,0.0,0.0,0.0,0.0
alphabet_size,14,3,0.3333333333333333,0.16666666666666666,0.25,0.08333333333333333
alphabet_size,15,7,0.0,0.21428571428571427,0.0,0.21428571428571427
alphabet_size,16,21,0.21428571428571427,0.23809523809523808,0.08333333333333333,0.10714285714285714
alphabet_size,17,21,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.14285714285714285
alphabet_size,18,30,0.13333333333333333,0.21666666666666667,0.06666666666666667,0.15
alphabet_size,19,40,0.1375,0.175,0.05625,0.09375
alphabet_size,20,30,0.16666666666666666,0.15,0.1,0.08333333333333333
alphabet_size,21,22,0.022727272727272728,0.09090909090909091,0.011363636363636364,0.07954545454545454
alphabet_size,22,18,0.027777777777777776,0.05555555555555555,0.027777777777777776,0.05555555555555555
alphabet_size,23,7,0.2857142857142857,0.07142857142857142,0.25,0.03571428571428571
string_length,31-40,64,0.140625,0.1484375,0.09765625,0.10546875
string_length,41-50,69,0.18115942028985507,0.2246376811594203,0.06521739130434782,0.10869565217391304
string_length,51-60,67,0.08955223880597014,0.11940298507462686,0.06716417910447761,0.09701492537313433
target_count,2,40,0.0375,0.0125,0.0375,0.0125
target_count,3,40,0.05,0.0625,0.03125,0.04375
target_count,4,40,0.125,0.175,0.08125,0.13125
target_count,5,40,0.2125,0.2625,0.09375,0.14375
target_count,6,40,0.2625,0.3125,0.1375,0.1875
target_density,0.05-<0.10,99,0.0707070707070707,0.1111111111111111,0.04292929292929293,0.08333333333333333
target_density,<0.05,24,0.041666666666666664,0.0,0.041666666666666664,0.0
target_density,>=0.10,77,0.2532467532467532,0.2857142857142857,0.12987012987012986,0.16233766233766234
