item_id,condition,G,C,D,rescue,damage
gate10_charcount_000,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0025
gate10_charcount_001,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
gate10_charcount_002,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0025
gate10_charcount_003,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0025
gate10_charcount_004,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
gate10_charcount_005,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0001507537688442211,0.0,0.0025,0.0
gate10_charcount_006,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
gate10_charcount_007,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
gate10_charcount_008,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0001507537688442211,0.0,0.0025,0.0
gate10_charcount_009,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,-0.00125,-0.0011055276381909548,0.0,0.00125,0.00125
gate10_charcount_010,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
gate10_charcount_011,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
gate10_charcount_012,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
gate10_charcount_013,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0025
gate10_charcount_014,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,-0.00125,-0.0011055276381909548,-0.005,0.00125,0.00125
gate10_charcount_015,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
gate10_charcount_016,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0025
gate10_charcount_017,TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,0.0,0.0,0.0,0.0,0.0
