condition,metric,primary,audit,difference
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,B00,0.045,0.045,0.0
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,O00,0.955,0.955,0.0
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,B0j,0.0325,0.0325,0.0
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,O0j,0.9675,0.9675,0.0
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,G,0.012499999999999997,0.012499999999999997,0.0
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,C,0.02074120603015075,0.02074120603015075,0.0
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,D,0.035,0.035,0.0
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,rescue,0.105,0.105,0.0
TEXTUAL_CAREFUL_CHARCOUNT_REFERENCE,damage,0.1625,0.1625,0.0
MEANINGFUL_L27_D75,B00,0.045,0.045,0.0
MEANINGFUL_L27_D75,O00,0.955,0.955,0.0
MEANINGFUL_L27_D75,B0j,0.06125,0.06125,0.0
MEANINGFUL_L27_D75,O0j,0.93875,0.93875,0.0
MEANINGFUL_L27_D75,G,-0.01625,-0.01625,0.0
MEANINGFUL_L27_D75,C,-0.012298994974874373,-0.012298994974874373,0.0
MEANINGFUL_L27_D75,D,-0.025,-0.025,0.0
MEANINGFUL_L27_D75,rescue,0.07625,0.07625,0.0
MEANINGFUL_L27_D75,damage,0.10375,0.10375,0.0
RANDOM_L27_D75_R0,B00,0.045,0.045,0.0
RANDOM_L27_D75_R0,O00,0.955,0.955,0.0
RANDOM_L27_D75_R0,B0j,0.05375,0.05375,0.0
RANDOM_L27_D75_R0,O0j,0.94625,0.94625,0.0
RANDOM_L27_D75_R0,G,-0.00875,-0.00875,0.0
RANDOM_L27_D75_R0,C,-0.004415829145728644,-0.004415829145728644,0.0
RANDOM_L27_D75_R0,D,0.0,0.0,0.0
RANDOM_L27_D75_R0,rescue,0.08375,0.08375,0.0
RANDOM_L27_D75_R0,damage,0.11375,0.11375,0.0
RANDOM_L27_D75_R1,B00,0.045,0.045,0.0
RANDOM_L27_D75_R1,O00,0.955,0.955,0.0
RANDOM_L27_D75_R1,B0j,0.05125,0.05125,0.0
RANDOM_L27_D75_R1,O0j,0.94875,0.94875,0.0
RANDOM_L27_D75_R1,G,-0.006249999999999999,-0.006249999999999999,0.0
RANDOM_L27_D75_R1,C,0.00016959798994975114,0.00016959798994975114,0.0
RANDOM_L27_D75_R1,D,0.03,0.03,0.0
RANDOM_L27_D75_R1,rescue,0.08625,0.08625,0.0
RANDOM_L27_D75_R1,damage,0.13125,0.13125,0.0
RANDOM_L27_D75_R2,B00,0.045,0.045,0.0
RANDOM_L27_D75_R2,O00,0.955,0.955,0.0
RANDOM_L27_D75_R2,B0j,0.05375,0.05375,0.0
RANDOM_L27_D75_R2,O0j,0.94625,0.94625,0.0
RANDOM_L27_D75_R2,G,-0.00875,-0.00875,0.0
RANDOM_L27_D75_R2,C,-0.0064886934673366835,-0.0064886934673366835,0.0
RANDOM_L27_D75_R2,D,-0.005,-0.005,0.0
RANDOM_L27_D75_R2,rescue,0.08375,0.08375,0.0
RANDOM_L27_D75_R2,damage,0.09875,0.09875,0.0
RANDOM_L27_D75_R3,B00,0.045,0.045,0.0
RANDOM_L27_D75_R3,O00,0.955,0.955,0.0
RANDOM_L27_D75_R3,B0j,0.065,0.065,0.0
RANDOM_L27_D75_R3,O0j,0.935,0.935,0.0
RANDOM_L27_D75_R3,G,-0.020000000000000004,-0.020000000000000004,0.0
RANDOM_L27_D75_R3,C,-0.012267587939698496,-0.012267587939698496,0.0
RANDOM_L27_D75_R3,D,-0.03,-0.03,0.0
RANDOM_L27_D75_R3,rescue,0.0725,0.0725,0.0
RANDOM_L27_D75_R3,damage,0.1275,0.1275,0.0
