auroc,axis,cosine_to_frozen,cross_domain_direction_cosine,domain,layer,mean_gap,median_gap,paired_standardized_effect,positive_gap_fraction
1.0,,,0.7752591407335498,CRUXEval,8,4.037360256950909,4.019404525620073,20.149060108278672,1.0
1.0,,,0.759710701739004,CRUXEval,12,7.265357399001952,7.2835474887235225,36.71880307652711,1.0
1.0,,,0.7771803217625116,CRUXEval,17,16.619270904043606,16.514986781064582,33.54455109055835,1.0
1.0,,,0.7679450220586612,CRUXEval,22,43.46538017039501,43.587385302452475,18.55679359657286,1.0
1.0,,0.9982780426300173,0.6485582444376512,CRUXEval,27,124.64550880941503,126.4031225079389,13.989166536190599,1.0
1.0,,,0.6927667739887569,CRUXEval,32,272.10599215250755,278.17160785871897,10.431179163725366,1.0
1.0,FROZEN_L27,0.9982780426300173,,CRUXEval,27,124.4308745568854,126.42978402255723,13.598051344945219,1.0
1.0,,,0.7752591407335498,CHARCOUNT,8,5.26918111120773,5.259546604270453,45.19175251794006,1.0
1.0,,,0.759710701739004,CHARCOUNT,12,9.441744902708546,9.463597048746658,69.65203654290025,1.0
1.0,,,0.7771803217625116,CHARCOUNT,17,21.380362596207927,21.456351538698172,48.31510078109304,1.0
1.0,,,0.7679450220586612,CHARCOUNT,22,65.50077715696156,65.52003138901739,50.29597739459255,1.0
1.0,,0.6593678019622763,0.6485582444376512,CHARCOUNT,27,170.1177249387956,170.9317000314182,45.00570006203634,1.0
1.0,,,0.6927667739887569,CHARCOUNT,32,341.6664335717296,342.7348550295067,49.96376283975203,1.0
1.0,FROZEN_L27,0.6593678019622763,,CHARCOUNT,27,112.17015036771677,112.23847811261803,30.29297749501243,1.0
