fixture_id,comparison,alpha,output_index,top1_agreement,vocabulary_js,target_logp_abs_difference,logit_cosine,max_abs_logit_difference
G12_1_FIXTURE_00,E0_vs_E1,NO_HOOK,0,1,0.00012443162907346632,0.0008889884093079559,0.9999684314950189,0.1875
G12_1_FIXTURE_00,E0_vs_E1,NO_HOOK,1,1,0.00011052242557263277,0.04346444281305217,0.9999792462829014,0.125
G12_1_FIXTURE_00,E1_vs_E2,NO_HOOK,0,1,5.0264864145403175e-08,7.362801714094758e-06,0.999999990236155,0.0625
G12_1_FIXTURE_00,E1_vs_E2,NO_HOOK,1,1,0.0001190271028387435,0.003160159718111899,0.9999775556361151,0.1328125
G12_1_FIXTURE_00,E0_vs_E1,0,0,1,0.00012443162907346632,0.0008889884093079559,0.9999684314950189,0.1875
G12_1_FIXTURE_00,E0_vs_E1,0,1,1,0.00011052242557263277,0.04346444281305217,0.9999792462829014,0.125
G12_1_FIXTURE_00,E1_vs_E2,0,0,1,5.0264864145403175e-08,7.362801714094758e-06,0.999999990236155,0.0625
G12_1_FIXTURE_00,E1_vs_E2,0,1,1,0.0001190271028387435,0.003160159718111899,0.9999775556361151,0.1328125
G12_1_FIXTURE_00,E0_NOHOOK_vs_ALPHA0,0,0,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_00,E0_NOHOOK_vs_ALPHA0,0,1,1,0.0,0.0,0.9999999999999998,0.0
G12_1_FIXTURE_00,E1_NOHOOK_vs_ALPHA0,0,0,1,0.0,0.0,1.0000000000000002,0.0
G12_1_FIXTURE_00,E1_NOHOOK_vs_ALPHA0,0,1,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_00,E2_NOHOOK_vs_ALPHA0,0,0,1,0.0,0.0,1.0,0.0
G12_1_FIXTURE_00,E2_NOHOOK_vs_ALPHA0,0,1,1,0.0,0.0,0.9999999999999998,0.0
G12_1_FIXTURE_00,E0_vs_E1,0.01,0,1,0.00012068229231239263,0.0059657623184392605,0.9999679255211594,0.15625
G12_1_FIXTURE_00,E0_vs_E1,0.01,1,1,0.0001237708238355996,0.02572683191369407,0.9999796467513394,0.125
G12_1_FIXTURE_00,E1_vs_E2,0.01,0,1,4.6450482436578243e-07,6.016283495924313e-05,0.9999999884402714,0.0625
G12_1_FIXTURE_00,E1_vs_E2,0.01,1,1,7.835061284619597e-05,0.009388274333948843,0.9999866428741038,0.125
G12_1_FIXTURE_00,E0_vs_E1,0.1,0,1,0.0004425506918170531,0.034110988624206584,0.9999470207350941,0.203125
G12_1_FIXTURE_00,E0_vs_E1,0.1,1,1,0.00016811361754330014,0.05157208278355441,0.9999613045148421,0.1484375
G12_1_FIXTURE_00,E1_vs_E2,0.1,0,1,3.216059657242818e-08,4.597642089265719e-06,0.9999999901612896,0.0625
G12_1_FIXTURE_00,E1_vs_E2,0.1,1,1,0.0001410656955343558,0.010722663147777922,0.9999781339937541,0.125
G12_1_FIXTURE_00,E0_vs_E1,97.8516893058,0,1,0.00017743680869654495,0.010288429699954804,0.9999706509577735,0.15625
G12_1_FIXTURE_00,E0_vs_E1,97.8516893058,1,1,0.00015142840452525455,0.017227429151178697,0.9999786274677157,0.125
G12_1_FIXTURE_00,E1_vs_E2,97.8516893058,0,1,3.891159970533574e-08,6.177263355056084e-06,0.9999999866361154,0.0625
G12_1_FIXTURE_00,E1_vs_E2,97.8516893058,1,1,0.00017612357079389642,0.005950076302381646,0.9999768606899244,0.125
G12_1_FIXTURE_01,E0_vs_E1,NO_HOOK,0,1,0.00012936390740106405,0.008607722898288372,0.999987228088313,0.171875
G12_1_FIXTURE_01,E0_vs_E1,NO_HOOK,1,1,5.740387352286711e-05,0.005316608962107949,0.999991738618082,0.09375
G12_1_FIXTURE_01,E0_vs_E1,NO_HOOK,2,1,6.975404755370674e-05,0.0013938812611939966,0.9999903378144083,0.09375
G12_1_FIXTURE_01,E1_vs_E2,NO_HOOK,0,1,0.00011297930945735598,0.01039766126463526,0.9999896392997081,0.1328125
G12_1_FIXTURE_01,E1_vs_E2,NO_HOOK,1,1,0.00011178812353730016,0.006304070906610448,0.9999771714531609,0.15625
G12_1_FIXTURE_01,E1_vs_E2,NO_HOOK,2,1,9.67533412086638e-05,0.02965062318097189,0.999988591760778,0.109375
G12_1_FIXTURE_01,E0_vs_E1,0,0,1,0.00012936390740106405,0.008607722898288372,0.999987228088313,0.171875
G12_1_FIXTURE_01,E0_vs_E1,0,1,1,5.740387352286711e-05,0.005316608962107949,0.999991738618082,0.09375
G12_1_FIXTURE_01,E0_vs_E1,0,2,1,6.975404755370674e-05,0.0013938812611939966,0.9999903378144083,0.09375
G12_1_FIXTURE_01,E1_vs_E2,0,0,1,0.00011297930945735598,0.01039766126463526,0.9999896392997081,0.1328125
