layer,n,commitment_validity,semantic_evaluability,accuracy,mean_tokens,median_tokens,max_tokens,truncation,no_commitment,Q,baseline_accuracy
0,12,1.0,1.0,0.4166666666666667,61.416666666666664,12.5,395.0,0.0,0.0,0.0,0.4166666666666667
1,12,1.0,1.0,0.4166666666666667,61.5,12.5,397.0,0.0,0.0,0.0,0.4166666666666667
2,12,1.0,1.0,0.4166666666666667,60.583333333333336,12.5,385.0,0.0,0.0,0.0,0.4166666666666667
3,12,1.0,1.0,0.4166666666666667,61.25,12.5,397.0,0.0,0.0,0.0,0.4166666666666667
4,12,1.0,1.0,0.4166666666666667,60.75,12.5,385.0,0.0,0.0,0.0,0.4166666666666667
5,12,1.0,1.0,0.4166666666666667,61.916666666666664,12.5,399.0,0.0,0.0,0.0,0.4166666666666667
6,12,1.0,1.0,0.4166666666666667,29.083333333333332,9.5,220.0,0.0,0.0,0.0,0.4166666666666667
7,12,1.0,1.0,0.4166666666666667,60.5,12.5,385.0,0.0,0.0,0.0,0.4166666666666667
8,12,1.0,1.0,0.4166666666666667,61.833333333333336,12.5,395.0,0.0,0.0,0.0,0.4166666666666667
9,12,1.0,1.0,0.4166666666666667,65.66666666666667,12.5,441.0,0.0,0.0,0.08333333333333333,0.4166666666666667
10,12,1.0,1.0,0.4166666666666667,46.166666666666664,12.5,222.0,0.0,0.0,0.0,0.4166666666666667
11,12,1.0,1.0,0.3333333333333333,44.916666666666664,12.5,216.0,0.0,0.0,0.08333333333333333,0.4166666666666667
12,12,1.0,1.0,0.3333333333333333,94.75,12.5,768.0,0.0,0.0,0.08333333333333333,0.4166666666666667
13,12,1.0,1.0,0.4166666666666667,49.75,12.5,249.0,0.0,0.0,0.16666666666666666,0.4166666666666667
14,12,1.0,1.0,0.4166666666666667,114.08333333333333,15.5,710.0,0.0,0.0,0.25,0.4166666666666667
15,12,0.9166666666666666,0.9166666666666666,0.5,464.5833333333333,19.5,4096.0,0.08333333333333333,0.08333333333333333,0.5,0.4166666666666667
16,12,1.0,1.0,0.5,228.0,127.5,1033.0,0.0,0.0,0.5833333333333334,0.4166666666666667
17,12,1.0,1.0,0.5,328.4166666666667,275.5,1658.0,0.0,0.0,0.5833333333333334,0.4166666666666667
18,12,0.8333333333333334,0.8333333333333334,0.6666666666666666,880.6666666666666,319.5,4096.0,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.4166666666666667
19,12,0.9166666666666666,0.9166666666666666,0.75,437.0833333333333,310.0,1592.0,0.0,0.08333333333333333,0.5833333333333334,0.4166666666666667
20,12,0.75,0.75,0.6666666666666666,1455.75,355.5,4096.0,0.25,0.25,0.6666666666666666,0.4166666666666667
21,12,1.0,1.0,0.8333333333333334,485.0833333333333,242.0,2347.0,0.0,0.0,0.5833333333333334,0.4166666666666667
22,12,0.8333333333333334,0.8333333333333334,0.75,1093.0833333333333,259.0,4096.0,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.4166666666666667
23,12,0.9166666666666666,0.9166666666666666,0.75,873.5833333333334,220.5,4096.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.4166666666666667
24,12,1.0,1.0,0.75,364.0833333333333,241.0,1640.0,0.0,0.0,0.5833333333333334,0.4166666666666667
25,12,1.0,1.0,0.6666666666666666,567.9166666666666,267.5,3349.0,0.0,0.0,0.5833333333333334,0.4166666666666667
26,12,0.8333333333333334,0.8333333333333334,0.6666666666666666,796.4166666666666,200.5,4096.0,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.4166666666666667
27,12,1.0,1.0,0.6666666666666666,296.1666666666667,233.5,953.0,0.0,0.0,0.6666666666666666,0.4166666666666667
28,12,1.0,1.0,0.6666666666666666,593.0,243.0,2090.0,0.0,0.0,0.6666666666666666,0.4166666666666667
29,12,1.0,1.0,0.8333333333333334,444.8333333333333,221.0,2239.0,0.0,0.0,0.5833333333333334,0.4166666666666667
30,12,0.9166666666666666,0.9166666666666666,0.8333333333333334,722.3333333333334,226.5,4096.0,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.4166666666666667
31,12,0.9166666666666666,0.9166666666666666,0.6666666666666666,499.4166666666667,229.5,1914.0,0.0,0.08333333333333333,0.5,0.4166666666666667
32,12,1.0,1.0,0.75,283.0833333333333,180.0,957.0,0.0,0.0,0.5833333333333334,0.4166666666666667
33,12,0.9166666666666666,0.9166666666666666,0.6666666666666666,660.8333333333334,238.0,4096.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.4166666666666667
