item_id,condition,G,C,D,rescue,damage
sample_111,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_112,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_12,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_135,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_159,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_17,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_176,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_179,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_182,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_19,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_193,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_198,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_218,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_220,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_225,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_230,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_240,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_241,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.005
sample_252,TEXTUAL_CAREFUL,-0.0025,-0.00393939393939394,-0.01,0.0025,0.0025
sample_259,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_268,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_272,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_275,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_277,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_278,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_291,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_305,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_313,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_318,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_323,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_325,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_332,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_336,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_34,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_343,TEXTUAL_CAREFUL,-0.0025,-0.00393939393939394,-0.01,0.0025,0.0025
sample_351,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_364,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_370,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_384,TEXTUAL_CAREFUL,0.0,0.0,0.01,0.0,0.01
sample_389,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_395,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_4,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_420,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_422,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_423,TEXTUAL_CAREFUL,-0.0025,-0.00393939393939394,-0.01,0.0025,0.0025
sample_436,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_437,TEXTUAL_CAREFUL,0.005,0.002171717171717172,0.0,0.005,0.0
sample_438,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_441,TEXTUAL_CAREFUL,0.0,0.0,0.0,0.0,0.0
sample_489,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_495,TEXTUAL_CAREFUL,0.005,0.002171717171717172,0.0,0.005,0.0
sample_50,TEXTUAL_CAREFUL,0.0,-0.0014141414141414141,0.0,0.005,0.0
sample_510,TEXTUAL_CAREFUL,0.0,-0.0014141414141414141,0.0,0.005,0.0
sample_513,TEXTUAL_CAREFUL,0.01,0.007222222222222223,0.01,0.01,0.0
sample_516,TEXTUAL_CAREFUL,0.0,-0.0028787878787878787,0.0,0.0,0.0
sample_525,TEXTUAL_CAREFUL,0.0,-0.0014141414141414141,0.0,0.005,0.0
