layer,dose,n,commitment_validity,semantic_evaluability,accuracy,mean_tokens,median_tokens,max_tokens,truncation,no_commitment,baseline_accuracy,Q,isotropic_Q,shuffled_Q,null_mean_Q,null_max_Q,Q_minus_null_mean,Q_minus_null_max
16,D25,28,0.9642857142857143,0.9642857142857143,0.7142857142857143,307.39285714285717,16.5,4096.0,0.03571428571428571,0.03571428571428571,0.6785714285714286,0.17857142857142858,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.07142857142857144,0.07142857142857144
16,D50,28,1.0,1.0,0.6785714285714286,241.67857142857142,143.5,2113.0,0.0,0.0,0.6785714285714286,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
16,D75,28,0.9642857142857143,0.9642857142857143,0.75,328.4642857142857,270.0,1315.0,0.0,0.03571428571428571,0.6785714285714286,0.39285714285714285,0.14285714285714285,0.17857142857142858,0.1607142857142857,0.17857142857142858,0.23214285714285715,0.21428571428571427
16,D100,28,0.8928571428571429,0.8928571428571429,0.75,614.3928571428571,372.0,4096.0,0.07142857142857142,0.10714285714285714,0.6785714285714286,0.39285714285714285,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.2857142857142857,0.17857142857142858,0.10714285714285715
18,D25,28,1.0,1.0,0.75,215.17857142857142,186.5,622.0,0.0,0.0,0.6785714285714286,0.32142857142857145,0.14285714285714285,0.07142857142857142,0.10714285714285714,0.14285714285714285,0.2142857142857143,0.1785714285714286
18,D50,28,0.9642857142857143,0.9642857142857143,0.8571428571428571,393.42857142857144,306.5,1637.0,0.0,0.03571428571428571,0.6785714285714286,0.39285714285714285,0.17857142857142858,0.21428571428571427,0.19642857142857142,0.21428571428571427,0.19642857142857142,0.17857142857142858
18,D75,28,0.8571428571428571,0.8571428571428571,0.6785714285714286,750.0714285714286,492.0,3753.0,0.0,0.14285714285714285,0.6785714285714286,0.5,0.25,0.5,0.375,0.5,0.125,0.0
18,D100,28,0.5714285714285714,0.5714285714285714,0.5,1965.107142857143,1697.5,4096.0,0.2857142857142857,0.42857142857142855,0.6785714285714286,0.7142857142857143,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.39285714285714285,0.39285714285714285
27,D25,28,1.0,1.0,0.7857142857142857,290.4642857142857,192.5,2134.0,0.0,0.0,0.6785714285714286,0.35714285714285715,0.14285714285714285,0.10714285714285714,0.125,0.14285714285714285,0.23214285714285715,0.2142857142857143
27,D50,28,0.9642857142857143,0.9642857142857143,0.8214285714285714,416.7857142857143,241.5,4096.0,0.03571428571428571,0.03571428571428571,0.6785714285714286,0.32142857142857145,0.35714285714285715,0.25,0.3035714285714286,0.35714285714285715,0.01785714285714285,-0.0357142857142857
27,D75,28,0.6428571428571429,0.6428571428571429,0.5714285714285714,1381.5,742.0,4096.0,0.17857142857142858,0.35714285714285715,0.6785714285714286,0.5,0.39285714285714285,0.4642857142857143,0.4285714285714286,0.4642857142857143,0.0714285714285714,0.0357142857142857
27,D100,28,0.0,0.0,0.0,4096.0,4096.0,4096.0,1.0,1.0,0.6785714285714286,1.0,0.5357142857142857,0.6428571428571429,0.5892857142857143,0.6428571428571429,0.4107142857142857,0.3571428571428571
