layer,paired_mean_gap,positive_gap_fraction,standardized_paired_effect,auroc,direction_pre_normalization_norm,direction_hash,ordinary_activation_scale,source_gap_activation_scale_ratio,source_eligible
0,0.03838588183040117,1.0,5.850934448085817,0.8984375,0.04050795272484452,abebc13b3fa5056ddd692111692e58c8f05b286defd434c15a85f058af6e03bd,3.2522021535150367,0.011803042990089973,True
1,0.07250557726630666,1.0,15.19984523794342,1.0,0.07353102009819831,bf142ce49c08405a2c058ce3239bbff60eefba96b276b00bf577973348ab072c,4.486960297635051,0.016159175133446644,True
2,0.0862456054549043,1.0,16.95003322483968,1.0,0.0871420041536722,f4edbf5f996f4e5a6d1b68482cde7fb982060c0f051846772bede23902553e3d,4.315417424469724,0.019985460726432994,True
3,0.1318258514988936,1.0,26.021283688815966,1.0,0.13223251482576742,1ad987f8f0a3c725c0ffc85b597335c17d98a0a68ddad1fe7b44827b2b32ba52,4.755734982377338,0.027719343484736262,True
4,0.2073575070726203,1.0,24.500358052788023,1.0,0.20706786688604634,86c4b1a7a7e034f79bad5753288639bb43b3be5a8dae2f8b28043bf1dd831e0f,5.1880615473744385,0.03996820492184779,True
5,0.329640110448032,1.0,22.563943507593198,1.0,0.32926829242250577,53d14870ad44ef24e0178b5e25e4bfb4ab6307defc5c1c320eea0c33b9d6555b,6.1864659258896335,0.0532840743644165,True
6,0.4395829918357013,1.0,26.238734498008565,1.0,0.4396612436851882,8cd5fb9723afab187fa6d6cec2a77967b865d081c42c23fda4355320ccad79fc,6.893952348912498,0.06376356690441069,True
7,0.7246199495225296,1.0,30.300625674604113,1.0,0.7277827582504994,c25d5fa637f2b84a2154829f4450027c6063e53fbc425316e3bcd5e3cfbf1c44,7.0217941984023255,0.1031958398449506,True
8,0.878883529595101,1.0,30.39404658100352,1.0,0.8769589006835237,1f97e612a0f95830663f8e22ee5e34feaf33b065470335e4078660e604273db8,7.448968355790892,0.11798728194513666,True
9,0.9707984234790994,1.0,26.467746865501297,1.0,0.9683570593406078,132ac208cc97a119a9dcfe6536263eca9d676bcc66d0e8fd0fae333c40ca7e9c,8.396194895621665,0.11562361707269782,True
10,1.1541888805562162,1.0,38.22433625088493,1.0,1.150740237279516,76e01bdd0a120e9861a155f04330bb881887f5a45fa1085070c0d7a4fc1152a8,8.25717316464957,0.1397801472176343,True
