condition,n,valid,validity,correct,wrong,invalid_format,truncated,accuracy,semantic_change_rate,raw_token_sequence_change_rate,mean_first_divergence_token,mean_tokens,median_tokens,max_tokens,original_valid,original_accuracy,original_statuses,v2_statuses
BASELINE,20,20,1.0,12,8,0,0,0.6,0.0,0.0,,8.75,6.0,20,20,0.6,"{""VALID_CORRECT"": 12, ""VALID_WRONG"": 8}","{""VALID_CORRECT"": 12, ""VALID_WRONG"": 8}"
BEST_SINGLE_MEAN_PLUS,20,18,0.9,10,8,2,0,0.5,0.7,0.9,0,271.2,298.5,458,7,0.15,"{""INVALID_FORMAT"": 13, ""VALID_CORRECT"": 3, ""VALID_WRONG"": 4}","{""INVALID_FORMAT"": 2, ""VALID_CORRECT"": 10, ""VALID_WRONG"": 8}"
MULTILAYER_MEAN_MINUS,20,20,1.0,9,11,0,0,0.45,0.25,0.25,3,8.95,7.0,20,20,0.45,"{""VALID_CORRECT"": 9, ""VALID_WRONG"": 11}","{""VALID_CORRECT"": 9, ""VALID_WRONG"": 11}"
MULTILAYER_MEAN_PLUS,20,13,0.65,8,5,4,3,0.4,0.7,1.0,0,1000.4,385.5,4096,2,0.0,"{""INVALID_FORMAT"": 15, ""TRUNCATED"": 3, ""VALID_WRONG"": 2}","{""INVALID_FORMAT"": 4, ""TRUNCATED_THINKING"": 3, ""VALID_CORRECT"": 8, ""VALID_WRONG"": 5}"
MULTILAYER_RANDOM_MEAN_R0,20,20,1.0,11,9,0,0,0.55,0.15,0.15,3.3333333333333335,8.7,6.0,20,20,0.55,"{""VALID_CORRECT"": 11, ""VALID_WRONG"": 9}","{""VALID_CORRECT"": 11, ""VALID_WRONG"": 9}"
MULTILAYER_RANDOM_MEAN_R1,20,19,0.95,11,8,1,0,0.55,0.2,0.2,3.5,8.75,6.0,20,19,0.55,"{""INVALID_FORMAT"": 1, ""VALID_CORRECT"": 11, ""VALID_WRONG"": 8}","{""INVALID_FORMAT"": 1, ""VALID_CORRECT"": 11, ""VALID_WRONG"": 8}"
MULTILAYER_RANDOM_MEAN_R2,20,19,0.95,10,9,1,0,0.5,0.3,0.3,3.3333333333333335,8.55,6.0,20,19,0.5,"{""INVALID_FORMAT"": 1, ""VALID_CORRECT"": 10, ""VALID_WRONG"": 9}","{""INVALID_FORMAT"": 1, ""VALID_CORRECT"": 10, ""VALID_WRONG"": 9}"
MULTILAYER_RANDOM_MEAN_R3,20,19,0.95,9,10,1,0,0.45,0.45,0.45,2.888888888888889,9.05,6.5,21,19,0.45,"{""INVALID_FORMAT"": 1, ""VALID_CORRECT"": 9, ""VALID_WRONG"": 10}","{""INVALID_FORMAT"": 1, ""VALID_CORRECT"": 9, ""VALID_WRONG"": 10}"
TEXTUAL_CAREFUL_REFERENCE,20,20,1.0,15,5,0,0,0.75,0.5,1.0,0,271.55,239.0,590,20,0.75,"{""VALID_CORRECT"": 15, ""VALID_WRONG"": 5}","{""VALID_CORRECT"": 15, ""VALID_WRONG"": 5}"
TEXTUAL_DIRECT_REFERENCE,20,20,1.0,11,9,0,0,0.55,0.25,0.25,2.8,8.95,7.5,21,20,0.55,"{""VALID_CORRECT"": 11, ""VALID_WRONG"": 9}","{""VALID_CORRECT"": 11, ""VALID_WRONG"": 9}"
