condition,metric,primary,audit,difference
TEXTUAL_CAREFUL_REFERENCE,B00,0.6,0.6,0.0
TEXTUAL_CAREFUL_REFERENCE,O00,0.4,0.4,0.0
TEXTUAL_CAREFUL_REFERENCE,B0j,0.3104166666666667,0.3104166666666667,0.0
TEXTUAL_CAREFUL_REFERENCE,O0j,0.6895833333333333,0.6895833333333333,0.0
TEXTUAL_CAREFUL_REFERENCE,G,0.2895833333333333,0.2895833333333333,0.0
TEXTUAL_CAREFUL_REFERENCE,C,0.11568627450980387,0.11568627450980387,0.0
TEXTUAL_CAREFUL_REFERENCE,D,0.23333333333333334,0.23333333333333334,0.0
TEXTUAL_CAREFUL_REFERENCE,rescue,0.29791666666666666,0.29791666666666666,0.0
TEXTUAL_CAREFUL_REFERENCE,damage,0.010416666666666666,0.010416666666666666,0.0
BEST_SINGLE_MEAN_PLUS,B00,0.6,0.6,0.0
BEST_SINGLE_MEAN_PLUS,O00,0.4,0.4,0.0
BEST_SINGLE_MEAN_PLUS,B0j,0.3625,0.3625,0.0
BEST_SINGLE_MEAN_PLUS,O0j,0.6375,0.6375,0.0
BEST_SINGLE_MEAN_PLUS,G,0.2375,0.2375,0.0
BEST_SINGLE_MEAN_PLUS,C,0.15007002801120445,0.15007002801120445,0.0
BEST_SINGLE_MEAN_PLUS,D,0.21666666666666667,0.21666666666666667,0.0
BEST_SINGLE_MEAN_PLUS,rescue,0.24583333333333332,0.24583333333333332,0.0
BEST_SINGLE_MEAN_PLUS,damage,0.1,0.1,0.0
GATE7_RANDOM_R0,B00,0.6,0.6,0.0
GATE7_RANDOM_R0,O00,0.4,0.4,0.0
GATE7_RANDOM_R0,B0j,0.5479166666666667,0.5479166666666667,0.0
GATE7_RANDOM_R0,O0j,0.4520833333333333,0.4520833333333333,0.0
GATE7_RANDOM_R0,G,0.05208333333333326,0.05208333333333326,0.0
GATE7_RANDOM_R0,C,0.021883753501400482,0.021883753501400482,0.0
GATE7_RANDOM_R0,D,0.058333333333333334,0.058333333333333334,0.0
GATE7_RANDOM_R0,rescue,0.06041666666666667,0.06041666666666667,0.0
GATE7_RANDOM_R0,damage,0.010416666666666666,0.010416666666666666,0.0
GATE7_RANDOM_R1,B00,0.6,0.6,0.0
GATE7_RANDOM_R1,O00,0.4,0.4,0.0
GATE7_RANDOM_R1,B0j,0.5666666666666667,0.5666666666666667,0.0
GATE7_RANDOM_R1,O0j,0.43333333333333335,0.43333333333333335,0.0
GATE7_RANDOM_R1,G,0.033333333333333326,0.033333333333333326,0.0
GATE7_RANDOM_R1,C,0.020868347338935556,0.020868347338935556,0.0
GATE7_RANDOM_R1,D,0.05,0.05,0.0
GATE7_RANDOM_R1,rescue,0.041666666666666664,0.041666666666666664,0.0
GATE7_RANDOM_R1,damage,0.020833333333333332,0.020833333333333332,0.0
GATE7_RANDOM_R2,B00,0.6,0.6,0.0
GATE7_RANDOM_R2,O00,0.4,0.4,0.0
GATE7_RANDOM_R2,B0j,0.6,0.6,0.0
GATE7_RANDOM_R2,O0j,0.4,0.4,0.0
GATE7_RANDOM_R2,G,0.0,0.0,0.0
GATE7_RANDOM_R2,C,0.010259103641456546,0.010259103641456546,0.0
GATE7_RANDOM_R2,D,0.016666666666666666,0.016666666666666666,0.0
GATE7_RANDOM_R2,rescue,0.008333333333333333,0.008333333333333333,0.0
GATE7_RANDOM_R2,damage,0.025,0.025,0.0
GATE7_RANDOM_R3,B00,0.6,0.6,0.0
GATE7_RANDOM_R3,O00,0.4,0.4,0.0
GATE7_RANDOM_R3,B0j,0.5583333333333333,0.5583333333333333,0.0
GATE7_RANDOM_R3,O0j,0.44166666666666665,0.44166666666666665,0.0
GATE7_RANDOM_R3,G,0.04166666666666663,0.04166666666666663,0.0
GATE7_RANDOM_R3,C,0.01904761904761898,0.01904761904761898,0.0
GATE7_RANDOM_R3,D,0.05,0.05,0.0
GATE7_RANDOM_R3,rescue,0.05,0.05,0.0
GATE7_RANDOM_R3,damage,0.0125,0.0125,0.0
