condition,n,commitment_validity,semantic_evaluability,accuracy,truncation_rate,no_commitment_rate,mean_tokens,median_tokens,max_tokens,status_counts
BASELINE,100,1.0,1.0,0.45,0.0,0.0,11.33,8.0,35,"{'VALID_CORRECT': 45, 'VALID_WRONG': 55}"
MEAN_D100,100,0.97,0.97,0.66,0.0,0.02,423.48,333.5,1877,"{'INVALID_FORMAT': 3, 'VALID_CORRECT': 66, 'VALID_WRONG': 31}"
MEAN_D25,100,1.0,1.0,0.45,0.0,0.0,11.33,8.0,35,"{'VALID_CORRECT': 45, 'VALID_WRONG': 55}"
MEAN_D50,100,1.0,1.0,0.42,0.0,0.0,22.82,9.0,491,"{'VALID_CORRECT': 42, 'VALID_WRONG': 58}"
MEAN_D75,100,1.0,1.0,0.49,0.0,0.0,152.5,21.0,1069,"{'VALID_CORRECT': 49, 'VALID_WRONG': 51}"
RANDOM_R0_D100,100,1.0,1.0,0.41,0.0,0.0,11.22,8.0,35,"{'VALID_CORRECT': 41, 'VALID_WRONG': 59}"
RANDOM_R0_D25,100,1.0,1.0,0.44,0.0,0.0,11.26,8.0,35,"{'VALID_CORRECT': 44, 'VALID_WRONG': 56}"
RANDOM_R0_D50,100,1.0,1.0,0.42,0.0,0.0,11.29,8.0,35,"{'VALID_CORRECT': 42, 'VALID_WRONG': 58}"
RANDOM_R0_D75,100,1.0,1.0,0.39,0.0,0.0,11.34,8.0,35,"{'VALID_CORRECT': 39, 'VALID_WRONG': 61}"
RANDOM_R1_D100,100,1.0,1.0,0.43,0.0,0.0,11.34,8.0,37,"{'VALID_CORRECT': 43, 'VALID_WRONG': 57}"
RANDOM_R1_D25,100,1.0,1.0,0.45,0.0,0.0,11.28,8.0,35,"{'VALID_CORRECT': 45, 'VALID_WRONG': 55}"
RANDOM_R1_D50,100,1.0,1.0,0.46,0.0,0.0,11.15,8.0,35,"{'VALID_CORRECT': 46, 'VALID_WRONG': 54}"
RANDOM_R1_D75,100,1.0,1.0,0.46,0.0,0.0,11.08,8.0,33,"{'VALID_CORRECT': 46, 'VALID_WRONG': 54}"
RANDOM_R2_D100,100,1.0,1.0,0.39,0.0,0.0,11.48,8.0,35,"{'VALID_CORRECT': 39, 'VALID_WRONG': 61}"
RANDOM_R2_D25,100,1.0,1.0,0.45,0.0,0.0,11.33,8.0,35,"{'VALID_CORRECT': 45, 'VALID_WRONG': 55}"
RANDOM_R2_D50,100,1.0,1.0,0.44,0.0,0.0,11.35,8.0,35,"{'VALID_CORRECT': 44, 'VALID_WRONG': 56}"
RANDOM_R2_D75,100,1.0,1.0,0.4,0.0,0.0,11.36,8.0,35,"{'VALID_CORRECT': 40, 'VALID_WRONG': 60}"
RANDOM_R3_D100,100,1.0,1.0,0.43,0.0,0.0,11.26,7.5,35,"{'VALID_CORRECT': 43, 'VALID_WRONG': 57}"
RANDOM_R3_D25,100,1.0,1.0,0.44,0.0,0.0,11.32,8.0,35,"{'VALID_CORRECT': 44, 'VALID_WRONG': 56}"
RANDOM_R3_D50,100,1.0,1.0,0.44,0.0,0.0,11.3,8.0,35,"{'VALID_CORRECT': 44, 'VALID_WRONG': 56}"
RANDOM_R3_D75,100,1.0,1.0,0.43,0.0,0.0,11.31,8.0,35,"{'VALID_CORRECT': 43, 'VALID_WRONG': 57}"
TEXTUAL_CAREFUL_REFERENCE,100,1.0,1.0,0.68,0.0,0.0,419.0,284.0,3037,"{'VALID_CORRECT': 68, 'VALID_WRONG': 32}"
