dose,metric,primary,audit,difference
D25,Q,0.05,0.05,0.0
D25,random_Q_mean,0.045,0.045,0.0
D25,random_Q_max,0.07,0.07,0.0
D25,rho_tokens,0.0,0.0,0.0
D50,Q,0.23,0.23,0.0
D50,random_Q_mean,0.115,0.115,0.0
D50,random_Q_max,0.14,0.14,0.0
D50,rho_tokens,0.02818456104201928,0.02818456104201928,0.0
D75,Q,0.43,0.43,0.0
D75,random_Q_mean,0.2025,0.2025,0.0
D75,random_Q_max,0.22,0.22,0.0
D75,rho_tokens,0.34628498540486174,0.34628498540486174,0.0
D100,Q,0.58,0.58,0.0
D100,random_Q_mean,0.28,0.28,0.0
D100,random_Q_max,0.33,0.33,0.0
D100,rho_tokens,1.0109892805455394,1.0109892805455394,0.0
