item_id,condition,G,C,D,rescue,damage
sample_104,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_12,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.0016414141414141416,0.0,0.005,0.0
sample_122,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_124,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_133,TEXTUAL_CAREFUL_REFERENCE,0.01,0.006767676767676768,0.01,0.01,0.0
sample_14,TEXTUAL_CAREFUL_REFERENCE,0.01,0.006767676767676768,0.01,0.01,0.0
sample_147,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_156,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_166,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_18,TEXTUAL_CAREFUL_REFERENCE,0.01,0.006767676767676768,0.01,0.01,0.0
sample_189,TEXTUAL_CAREFUL_REFERENCE,0.01,0.006767676767676768,0.01,0.01,0.0
sample_190,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.003333333333333333,0.0,0.0,0.0
sample_193,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_195,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.003333333333333333,0.0,0.0,0.0
sample_202,TEXTUAL_CAREFUL_REFERENCE,0.0,-0.0016414141414141416,0.0,0.005,0.0
sample_210,TEXTUAL_CAREFUL_REFERENCE,0.01,0.006767676767676768,0.01,0.01,0.0
sample_224,TEXTUAL_CAREFUL_REFERENCE,0.01,0.006767676767676768,0.01,0.01,0.0
sample_234,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_241,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_249,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_253,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
sample_257,TEXTUAL_CAREFUL_REFERENCE,0.01,0.006767676767676768,0.01,0.01,0.0
sample_262,TEXTUAL_CAREFUL_REFERENCE,0.0,0.0,0.0,0.0,0.0
