condition,metric,primary,audit,difference
TEXTUAL_CAREFUL_REFERENCE,B00,0.51,0.51,0.0
TEXTUAL_CAREFUL_REFERENCE,O00,0.49,0.49,0.0
TEXTUAL_CAREFUL_REFERENCE,B0j,0.19,0.19,0.0
TEXTUAL_CAREFUL_REFERENCE,O0j,0.81,0.81,0.0
TEXTUAL_CAREFUL_REFERENCE,G,0.32,0.32,0.0
TEXTUAL_CAREFUL_REFERENCE,C,0.14666666666666667,0.14666666666666667,0.0
TEXTUAL_CAREFUL_REFERENCE,D,0.3,0.3,0.0
TEXTUAL_CAREFUL_REFERENCE,rescue,0.34,0.34,0.0
TEXTUAL_CAREFUL_REFERENCE,damage,0.01,0.01,0.0
MEANINGFUL_L27_D75,B00,0.51,0.51,0.0
MEANINGFUL_L27_D75,O00,0.49,0.49,0.0
MEANINGFUL_L27_D75,B0j,0.3775,0.3775,0.0
MEANINGFUL_L27_D75,O0j,0.6225,0.6225,0.0
MEANINGFUL_L27_D75,G,0.1325,0.1325,0.0
MEANINGFUL_L27_D75,C,0.06434343434343434,0.06434343434343434,0.0
MEANINGFUL_L27_D75,D,0.12,0.12,0.0
MEANINGFUL_L27_D75,rescue,0.1525,0.1525,0.0
MEANINGFUL_L27_D75,damage,0.0225,0.0225,0.0
RANDOM_L27_D75_R0,B00,0.51,0.51,0.0
RANDOM_L27_D75_R0,O00,0.49,0.49,0.0
RANDOM_L27_D75_R0,B0j,0.5025,0.5025,0.0
RANDOM_L27_D75_R0,O0j,0.49750000000000005,0.49750000000000005,0.0
RANDOM_L27_D75_R0,G,0.007500000000000062,0.007500000000000062,0.0
RANDOM_L27_D75_R0,C,0.00500000000000006,0.00500000000000006,0.0
RANDOM_L27_D75_R0,D,0.01,0.01,0.0
RANDOM_L27_D75_R0,rescue,0.0275,0.0275,0.0
RANDOM_L27_D75_R0,damage,0.0225,0.0225,0.0
RANDOM_L27_D75_R1,B00,0.51,0.51,0.0
RANDOM_L27_D75_R1,O00,0.49,0.49,0.0
RANDOM_L27_D75_R1,B0j,0.52,0.52,0.0
RANDOM_L27_D75_R1,O0j,0.48,0.48,0.0
RANDOM_L27_D75_R1,G,-0.010000000000000009,-0.010000000000000009,0.0
RANDOM_L27_D75_R1,C,-0.004646464646464676,-0.004646464646464676,0.0
RANDOM_L27_D75_R1,D,-0.01,-0.01,0.0
RANDOM_L27_D75_R1,rescue,0.01,0.01,0.0
RANDOM_L27_D75_R1,damage,0.02,0.02,0.0
RANDOM_L27_D75_R2,B00,0.51,0.51,0.0
RANDOM_L27_D75_R2,O00,0.49,0.49,0.0
RANDOM_L27_D75_R2,B0j,0.495,0.495,0.0
RANDOM_L27_D75_R2,O0j,0.505,0.505,0.0
RANDOM_L27_D75_R2,G,0.015000000000000013,0.015000000000000013,0.0
RANDOM_L27_D75_R2,C,-0.0008080808080808133,-0.0008080808080808133,0.0
RANDOM_L27_D75_R2,D,0.02,0.02,0.0
RANDOM_L27_D75_R2,rescue,0.035,0.035,0.0
RANDOM_L27_D75_R2,damage,0.005,0.005,0.0
RANDOM_L27_D75_R3,B00,0.51,0.51,0.0
RANDOM_L27_D75_R3,O00,0.49,0.49,0.0
RANDOM_L27_D75_R3,B0j,0.4925,0.4925,0.0
RANDOM_L27_D75_R3,O0j,0.5075000000000001,0.5075000000000001,0.0
RANDOM_L27_D75_R3,G,0.017500000000000016,0.017500000000000016,0.0
RANDOM_L27_D75_R3,C,0.009747474747474727,0.009747474747474727,0.0
RANDOM_L27_D75_R3,D,0.02,0.02,0.0
RANDOM_L27_D75_R3,rescue,0.0375,0.0375,0.0
RANDOM_L27_D75_R3,damage,0.0225,0.0225,0.0
