model_role,left_out_item_id,C,delta_C_nullmean,G,D
Qwen,sample_1,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_101,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_102,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_105,0.05470779220779226,0.040097402597402576,0.0892857142857143,0.08928571428571429
Qwen,sample_106,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_108,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_116,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_131,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_140,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_143,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_144,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_146,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_148,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_152,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_187,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_217,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_22,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_229,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_236,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_238,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_242,0.047727272727272674,0.03177759740259738,0.0714285714285714,0.07142857142857142
Qwen,sample_25,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_26,0.05470779220779226,0.042694805194805174,0.0892857142857143,0.08928571428571429
Qwen,sample_290,0.05178571428571427,0.03583603896103897,0.08035714285714285,0.08928571428571429
Qwen,sample_298,0.04431818181818187,0.03749999999999998,0.0892857142857143,0.07142857142857142
Qwen,sample_36,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_385,0.05178571428571427,0.03685064935064934,0.08035714285714285,0.08928571428571429
Qwen,sample_412,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_435,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_461,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_466,0.05917207792207796,0.03863636363636365,0.09821428571428575,0.08928571428571429
Qwen,sample_475,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_480,0.05178571428571427,0.04293831168831168,0.08035714285714285,0.08928571428571429
Qwen,sample_488,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_508,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_54,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_558,0.05178571428571427,0.03583603896103897,0.08035714285714285,0.08928571428571429
Qwen,sample_568,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_58,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_587,0.04431818181818187,0.029707792207792183,0.0892857142857143,0.07142857142857142
Qwen,sample_598,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_612,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_641,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_644,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_652,0.06030844155844156,0.03963068181818177,0.0892857142857143,0.08928571428571429
Qwen,sample_661,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_67,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_677,0.047727272727272674,0.03177759740259738,0.0714285714285714,0.07142857142857142
Qwen,sample_683,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_7,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_71,0.05178571428571427,0.03583603896103897,0.08035714285714285,0.08928571428571429
Qwen,sample_711,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_723,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_735,0.05584415584415581,0.03989448051948051,0.08928571428571425,0.08928571428571429
Qwen,sample_787,0.05470779220779226,0.03879870129870128,0.0892857142857143,0.08928571428571429
Qwen,sample_788,0.05584415584415581,0.04192370129870131,0.08928571428571425,0.08928571428571429
Qwen,sample_82,0.047727272727272674,0.03177759740259738,0.0714285714285714,0.07142857142857142
Ministral,sample_1,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_101,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_102,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_105,0.06461038961038962,0.05698051948051949,0.0892857142857143,0.08928571428571429
Ministral,sample_106,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_108,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_116,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_131,0.07954545454545453,0.06672077922077921,0.11607142857142855,0.10714285714285714
Ministral,sample_140,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_143,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_144,0.069724025974026,0.0619318181818182,0.10714285714285715,0.10714285714285714
Ministral,sample_146,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_148,0.07516233766233768,0.07148944805194807,0.10714285714285715,0.10714285714285714
Ministral,sample_152,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_187,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_217,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_22,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_229,0.07516233766233768,0.06753246753246755,0.10714285714285715,0.10714285714285714
Ministral,sample_236,0.07824675324675326,0.06623376623376626,0.10714285714285715,0.10714285714285714
Ministral,sample_238,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_242,0.07370129870129871,0.0669034090909091,0.10714285714285715,0.10714285714285714
Ministral,sample_25,0.07370129870129871,0.06590909090909092,0.10714285714285715,0.10714285714285714
Ministral,sample_26,0.069724025974026,0.0619318181818182,0.10714285714285715,0.10714285714285714
Ministral,sample_290,0.06988636363636361,0.06225649350649348,0.0982142857142857,0.10714285714285714
