n,rollouts,random_controls,transfer_fraction,replicates,true_c,true_delta_c,expected_c_ci_width,expected_delta_c_ci_width,power_c_lower_gt_zero,power_delta_c_lower_gt_zero,probability_c_above_every_random,split_half_sign_consistency,joint_frozen_rule_probability
100,2,4,0.0,100000,0.015644580200501315,0.0,0.062205716055019004,0.05175432792505265,0.16327,0.02497,0.18816,0.17674,0.00241
100,2,4,0.5,100000,0.03499960839599004,0.019355028195488726,0.062205716055019004,0.05175432792505265,0.59686,0.31062,0.54233,0.83883,0.19462
100,2,4,0.75,100000,0.0446771224937344,0.02903254229323309,0.062205716055019004,0.05175432792505265,0.80386,0.59473,0.72357,0.96784,0.47515
100,2,4,1.0,100000,0.05435463659147877,0.03871005639097745,0.062205716055019004,0.05175432792505265,0.92733,0.8353,0.85881,0.9961,0.74366
100,2,8,0.0,100000,0.015644580200501315,0.0,0.062205716055019004,0.05175432792505265,0.16584,0.02461,0.10033,0.17388,0.00208
100,2,8,0.5,100000,0.03499960839599004,0.019355028195488726,0.062205716055019004,0.05175432792505265,0.59583,0.30978,0.40471,0.83899,0.17048
100,2,8,0.75,100000,0.0446771224937344,0.02903254229323309,0.062205716055019004,0.05175432792505265,0.80486,0.59573,0.60787,0.96677,0.43045
100,2,8,1.0,100000,0.05435463659147877,0.03871005639097745,0.062205716055019004,0.05175432792505265,0.92895,0.83548,0.78357,0.99582,0.69763
100,4,4,0.0,100000,0.015644580200501315,0.0,0.06117505088010684,0.0508968282156022,0.16963,0.02496,0.19087,0.17544,0.00269
100,4,4,0.5,100000,0.03499960839599004,0.019355028195488726,0.06117505088010684,0.0508968282156022,0.6114,0.32,0.547,0.838,0.20094
100,4,4,0.75,100000,0.0446771224937344,0.02903254229323309,0.06117505088010684,0.0508968282156022,0.81874,0.61032,0.73163,0.96695,0.48931
100,4,4,1.0,100000,0.05435463659147877,0.03871005639097745,0.06117505088010684,0.0508968282156022,0.9366,0.84779,0.86631,0.99613,0.75905
100,4,8,0.0,100000,0.015644580200501315,0.0,0.06117505088010684,0.0508968282156022,0.17126,0.02512,0.10071,0.17429,0.00228
100,4,8,0.5,100000,0.03499960839599004,0.019355028195488726,0.06117505088010684,0.0508968282156022,0.61124,0.31899,0.41044,0.83828,0.17631
