design,independent_units,raw_rows,rollouts,random_controls,transfer_fraction,within_family_rho,se_multiplier,effective_units,replicates,true_c,true_delta_c,expected_c_ci_width,expected_delta_c_ci_width,power_c_lower_gt_zero,power_delta_c_lower_gt_zero,probability_c_above_every_random,split_half_sign_consistency,joint_frozen_rule_probability,joint_probability_monte_carlo_se
C_ONE_ROW_PER_FAMILY,80,80,4,8,0.0,,1.0,80.0,100000,0.015644580200501315,0.0,0.06839578614746362,0.05690438386460794,0.14321,0.02513,0.10178,0.16593,0.00197,0.00014021836898209876
C_ONE_ROW_PER_FAMILY,80,80,4,8,0.5,,1.0,80.0,100000,0.03499960839599004,0.019355028195488726,0.06839578614746362,0.05690438386460794,0.51783,0.26495,0.37131,0.77923,0.13224,0.0010712263178245761
C_ONE_ROW_PER_FAMILY,80,80,4,8,0.75,,1.0,80.0,100000,0.0446771224937344,0.02903254229323309,0.06839578614746362,0.05690438386460794,0.72595,0.51325,0.55726,0.93912,0.34743,0.001505730371281658
C_ONE_ROW_PER_FAMILY,80,80,4,8,1.0,,1.0,80.0,100000,0.05435463659147877,0.03871005639097745,0.06839578614746362,0.05690438386460794,0.87484,0.75906,0.72811,0.98938,0.60528,0.0015456911774348716
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.0,0.0,0.6582805886043833,184.6153846153846,100000,0.015644580200501315,0.0,0.04502361836321188,0.03745905130456389,0.27466,0.0245,0.09243,0.20798,0.00254,0.0001591712411210015
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.5,0.0,0.6582805886043833,184.6153846153846,100000,0.03499960839599004,0.019355028195488726,0.04502361836321188,0.03745905130456389,0.8625,0.52722,0.5338,0.95089,0.35209,0.0015103729072649577
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.75,0.0,0.6582805886043833,184.6153846153846,100000,0.0446771224937344,0.02903254229323309,0.04502361836321188,0.03745905130456389,0.97262,0.85863,0.78056,0.99688,0.71168,0.0014324509680962907
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,1.0,0.0,0.6582805886043833,184.6153846153846,100000,0.05435463659147877,0.03871005639097745,0.04502361836321188,0.03745905130456389,0.99732,0.98165,0.92875,0.99997,0.9181,0.0008671354565464382
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.0,0.25,0.758287544405155,139.13043478260872,100000,0.015644580200501315,0.0,0.05186367272542031,0.04314988550658187,0.21861,0.02565,0.09703,0.19498,0.00255,0.0001594834630925727
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.5,0.25,0.758287544405155,139.13043478260872,100000,0.03499960839599004,0.019355028195488726,0.05186367272542031,0.04314988550658187,0.75121,0.42026,0.4717,0.91006,0.26148,0.0013896337992435272
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.75,0.25,0.758287544405155,139.13043478260872,100000,0.0446771224937344,0.02903254229323309,0.05186367272542031,0.04314988550658187,0.9207,0.75056,0.70384,0.98945,0.58669,0.0015571924861750395
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,1.0,0.25,0.758287544405155,139.13043478260872,100000,0.05435463659147877,0.03871005639097745,0.05186367272542031,0.04314988550658187,0.98498,0.93969,0.87346,0.99937,0.83933,0.0011612715061517698
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.0,0.5,0.8465616732800195,111.6279069767442,100000,0.015644580200501315,0.0,0.05790125116629919,0.04817307042139104,0.18276,0.02483,0.09803,0.18198,0.00214,0.00014613077704576816
B_EQUAL_FAMILY_ALL_ROWS,80,192,4,8,0.5,0.5,0.8465616732800195,111.6279069767442,100000,0.03499960839599004,0.019355028195488726,0.05790125116629919,0.04817307042139104,0.66073,0.35178,0.43389,0.86336,0.20373,0.0012736721991941254
