controller,source_axis,source_location,sign,delta_norm,n,validity,evaluability,raw_sequence_movement,semantic_movement,mean_token_delta,median_token_delta,mean_tokens,label_free_manipulation_metric
MEAN_INDEPENDENT_VERIFICATION_PROMPT_BOUNDARY_PLUS,INDEPENDENT_VERIFICATION,PROMPT_BOUNDARY,PLUS,97.85168930581241,12,1.0,1.0,0.08333333333333333,0.08333333333333333,0.0,0.0,8.416666666666666,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.08333333333333333, ""semantic_change_rate"": 0.08333333333333333, ""semantic_evaluability"": 1.0}"
MEAN_INDEPENDENT_VERIFICATION_PROMPT_BOUNDARY_MINUS,INDEPENDENT_VERIFICATION,PROMPT_BOUNDARY,MINUS,97.85168930581241,12,1.0,1.0,0.25,0.16666666666666666,0.08333333333333333,0.0,8.5,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.25, ""semantic_change_rate"": 0.16666666666666666, ""semantic_evaluability"": 1.0}"
MEAN_INDEPENDENT_VERIFICATION_EXECUTION_BOUNDARY_PLUS,INDEPENDENT_VERIFICATION,EXECUTION_BOUNDARY,PLUS,97.85168930581241,12,1.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,8.75,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.16666666666666666, ""semantic_change_rate"": 0.16666666666666666, ""semantic_evaluability"": 1.0}"
MEAN_INDEPENDENT_VERIFICATION_EXECUTION_BOUNDARY_MINUS,INDEPENDENT_VERIFICATION,EXECUTION_BOUNDARY,MINUS,97.85168930581241,12,1.0,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,8.5,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.08333333333333333, ""semantic_change_rate"": 0.08333333333333333, ""semantic_evaluability"": 1.0}"
MEAN_EXPLICIT_STATE_TRACKING_PROMPT_BOUNDARY_PLUS,EXPLICIT_STATE_TRACKING,PROMPT_BOUNDARY,PLUS,97.85168930581241,12,1.0,1.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,8.583333333333334,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.08333333333333333, ""semantic_change_rate"": 0.08333333333333333, ""semantic_evaluability"": 1.0}"
MEAN_EXPLICIT_STATE_TRACKING_PROMPT_BOUNDARY_MINUS,EXPLICIT_STATE_TRACKING,PROMPT_BOUNDARY,MINUS,97.85168930581241,12,1.0,1.0,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.0,8.833333333333334,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.16666666666666666, ""semantic_change_rate"": 0.08333333333333333, ""semantic_evaluability"": 1.0}"
MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_PLUS,EXPLICIT_STATE_TRACKING,EXECUTION_BOUNDARY,PLUS,97.85168930581241,12,1.0,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,8.5,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.08333333333333333, ""semantic_change_rate"": 0.08333333333333333, ""semantic_evaluability"": 1.0}"
MEAN_EXPLICIT_STATE_TRACKING_EXECUTION_BOUNDARY_MINUS,EXPLICIT_STATE_TRACKING,EXECUTION_BOUNDARY,MINUS,97.85168930581241,12,1.0,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,8.5,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.08333333333333333, ""semantic_change_rate"": 0.08333333333333333, ""semantic_evaluability"": 1.0}"
MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_PLUS,TYPE_REPRESENTATION_DISCIPLINE,PROMPT_BOUNDARY,PLUS,97.85168930581241,12,1.0,1.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,8.5,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.08333333333333333, ""semantic_change_rate"": 0.08333333333333333, ""semantic_evaluability"": 1.0}"
MEAN_TYPE_REPRESENTATION_DISCIPLINE_PROMPT_BOUNDARY_MINUS,TYPE_REPRESENTATION_DISCIPLINE,PROMPT_BOUNDARY,MINUS,97.85168930581241,12,1.0,1.0,0.25,0.16666666666666666,0.4166666666666667,0.0,8.833333333333334,"{""commitment_validity"": 1.0, ""raw_sequence_change_rate"": 0.25, ""semantic_change_rate"": 0.16666666666666666, ""semantic_evaluability"": 1.0}"
