metric,primary,audit,absolute_difference
D.0.0,0.0,0.0,0.0
D.0.1,0.016666666666666666,0.016666666666666666,0.0
D.0.10,0.041666666666666664,0.041666666666666664,0.0
D.0.11,0.008333333333333333,0.008333333333333333,0.0
D.0.12,0.016666666666666666,0.016666666666666666,0.0
D.0.13,0.016666666666666666,0.016666666666666666,0.0
D.0.14,0.041666666666666664,0.041666666666666664,0.0
D.0.15,0.025,0.025,0.0
D.0.16,-0.008333333333333333,-0.008333333333333333,0.0
D.0.17,0.025,0.025,0.0
D.0.18,0.008333333333333333,0.008333333333333333,0.0
D.0.19,0.008333333333333333,0.008333333333333333,0.0
D.0.2,0.008333333333333333,0.008333333333333333,0.0
D.0.20,0.016666666666666666,0.016666666666666666,0.0
D.0.21,0.025,0.025,0.0
D.0.22,0.0,0.0,0.0
D.0.23,0.016666666666666666,0.016666666666666666,0.0
D.0.3,0.016666666666666666,0.016666666666666666,0.0
D.0.4,0.008333333333333333,0.008333333333333333,0.0
D.0.5,0.008333333333333333,0.008333333333333333,0.0
D.0.6,0.041666666666666664,0.041666666666666664,0.0
D.0.7,0.0,0.0,0.0
D.0.8,0.016666666666666666,0.016666666666666666,0.0
D.0.9,-0.016666666666666666,-0.016666666666666666,0.0
D.1.0,0.016666666666666666,0.016666666666666666,0.0
D.1.1,0.0,0.0,0.0
D.1.10,0.016666666666666666,0.016666666666666666,0.0
D.1.11,0.025,0.025,0.0
D.1.12,0.0,0.0,0.0
D.1.13,0.008333333333333333,0.008333333333333333,0.0
D.1.14,0.008333333333333333,0.008333333333333333,0.0
D.1.15,0.016666666666666666,0.016666666666666666,0.0
D.1.16,-0.008333333333333333,-0.008333333333333333,0.0
D.1.17,0.016666666666666666,0.016666666666666666,0.0
D.1.18,0.0,0.0,0.0
D.1.19,0.025,0.025,0.0
D.1.2,0.008333333333333333,0.008333333333333333,0.0
D.1.20,0.016666666666666666,0.016666666666666666,0.0
D.1.21,0.008333333333333333,0.008333333333333333,0.0
D.1.22,-0.008333333333333333,-0.008333333333333333,0.0
D.1.23,0.025,0.025,0.0
D.1.3,0.016666666666666666,0.016666666666666666,0.0
D.1.4,0.016666666666666666,0.016666666666666666,0.0
D.1.5,0.0,0.0,0.0
D.1.6,0.008333333333333333,0.008333333333333333,0.0
D.1.7,0.03333333333333333,0.03333333333333333,0.0
D.1.8,0.008333333333333333,0.008333333333333333,0.0
D.1.9,-0.025,-0.025,0.0
D.10.0,0.041666666666666664,0.041666666666666664,0.0
D.10.1,0.016666666666666666,0.016666666666666666,0.0
D.10.10,0.0,0.0,0.0
D.10.11,0.058333333333333334,0.058333333333333334,0.0
D.10.12,0.008333333333333333,0.008333333333333333,0.0
D.10.13,0.016666666666666666,0.016666666666666666,0.0
D.10.14,0.016666666666666666,0.016666666666666666,0.0
D.10.15,0.058333333333333334,0.058333333333333334,0.0
D.10.16,0.025,0.025,0.0
D.10.17,0.041666666666666664,0.041666666666666664,0.0
D.10.18,0.0,0.0,0.0
D.10.19,0.025,0.025,0.0
D.10.2,0.03333333333333333,0.03333333333333333,0.0
D.10.20,0.03333333333333333,0.03333333333333333,0.0
D.10.21,0.025,0.025,0.0
D.10.22,0.008333333333333333,0.008333333333333333,0.0
D.10.23,0.041666666666666664,0.041666666666666664,0.0
D.10.3,0.03333333333333333,0.03333333333333333,0.0
D.10.4,0.016666666666666666,0.016666666666666666,0.0
D.10.5,0.025,0.025,0.0
D.10.6,0.008333333333333333,0.008333333333333333,0.0
D.10.7,0.058333333333333334,0.058333333333333334,0.0
D.10.8,0.008333333333333333,0.008333333333333333,0.0
D.10.9,-0.008333333333333333,-0.008333333333333333,0.0
D.11.0,0.008333333333333333,0.008333333333333333,0.0
D.11.1,0.025,0.025,0.0
D.11.10,0.058333333333333334,0.058333333333333334,0.0
D.11.11,0.0,0.0,0.0
D.11.12,0.016666666666666666,0.016666666666666666,0.0
D.11.13,0.025,0.025,0.0
D.11.14,0.05,0.05,0.0
D.11.15,0.03333333333333333,0.03333333333333333,0.0
D.11.16,0.016666666666666666,0.016666666666666666,0.0
D.11.17,0.016666666666666666,0.016666666666666666,0.0
D.11.18,0.025,0.025,0.0
D.11.19,0.0,0.0,0.0
D.11.2,0.025,0.025,0.0
D.11.20,0.025,0.025,0.0
D.11.21,0.025,0.025,0.0
D.11.22,0.03333333333333333,0.03333333333333333,0.0
D.11.23,0.016666666666666666,0.016666666666666666,0.0
D.11.3,0.016666666666666666,0.016666666666666666,0.0
D.11.4,0.016666666666666666,0.016666666666666666,0.0
D.11.5,0.016666666666666666,0.016666666666666666,0.0
D.11.6,0.06666666666666667,0.06666666666666667,0.0
D.11.7,-0.008333333333333333,-0.008333333333333333,0.0
D.11.8,0.025,0.025,0.0
D.11.9,0.016666666666666666,0.016666666666666666,0.0
D.12.0,0.016666666666666666,0.016666666666666666,0.0
D.12.1,0.0,0.0,0.0
D.12.10,0.008333333333333333,0.008333333333333333,0.0
D.12.11,0.016666666666666666,0.016666666666666666,0.0
D.12.12,0.0,0.0,0.0
D.12.13,-0.008333333333333333,-0.008333333333333333,0.0
D.12.14,0.03333333333333333,0.03333333333333333,0.0
D.12.15,0.016666666666666666,0.016666666666666666,0.0
D.12.16,-0.016666666666666666,-0.016666666666666666,0.0
D.12.17,0.016666666666666666,0.016666666666666666,0.0
D.12.18,0.0,0.0,0.0
D.12.19,-0.008333333333333333,-0.008333333333333333,0.0
D.12.2,0.008333333333333333,0.008333333333333333,0.0
D.12.20,0.025,0.025,0.0
D.12.21,0.025,0.025,0.0
D.12.22,0.0,0.0,0.0
D.12.23,0.016666666666666666,0.016666666666666666,0.0
D.12.3,0.008333333333333333,0.008333333333333333,0.0
D.12.4,-0.008333333333333333,-0.008333333333333333,0.0
D.12.5,0.0,0.0,0.0
D.12.6,0.016666666666666666,0.016666666666666666,0.0
D.12.7,0.025,0.025,0.0
D.12.8,-0.008333333333333333,-0.008333333333333333,0.0
D.12.9,-0.025,-0.025,0.0
D.13.0,0.016666666666666666,0.016666666666666666,0.0
D.13.1,0.008333333333333333,0.008333333333333333,0.0
D.13.10,0.016666666666666666,0.016666666666666666,0.0
D.13.11,0.025,0.025,0.0
D.13.12,-0.008333333333333333,-0.008333333333333333,0.0
D.13.13,0.0,0.0,0.0
D.13.14,0.03333333333333333,0.03333333333333333,0.0
D.13.15,0.025,0.025,0.0
D.13.16,0.008333333333333333,0.008333333333333333,0.0
D.13.17,0.016666666666666666,0.016666666666666666,0.0
D.13.18,-0.008333333333333333,-0.008333333333333333,0.0
D.13.19,0.008333333333333333,0.008333333333333333,0.0
D.13.2,0.016666666666666666,0.016666666666666666,0.0
D.13.20,0.008333333333333333,0.008333333333333333,0.0
D.13.21,0.016666666666666666,0.016666666666666666,0.0
D.13.22,0.008333333333333333,0.008333333333333333,0.0
D.13.23,-0.008333333333333333,-0.008333333333333333,0.0
D.13.3,0.008333333333333333,0.008333333333333333,0.0
D.13.4,0.008333333333333333,0.008333333333333333,0.0
D.13.5,0.008333333333333333,0.008333333333333333,0.0
D.13.6,0.03333333333333333,0.03333333333333333,0.0
D.13.7,0.025,0.025,0.0
D.13.8,-0.008333333333333333,-0.008333333333333333,0.0
D.13.9,0.0,0.0,0.0
D.14.0,0.041666666666666664,0.041666666666666664,0.0
D.14.1,0.008333333333333333,0.008333333333333333,0.0
D.14.10,0.016666666666666666,0.016666666666666666,0.0
D.14.11,0.05,0.05,0.0
D.14.12,0.03333333333333333,0.03333333333333333,0.0
D.14.13,0.03333333333333333,0.03333333333333333,0.0
D.14.14,0.0,0.0,0.0
D.14.15,0.058333333333333334,0.058333333333333334,0.0
D.14.16,0.03333333333333333,0.03333333333333333,0.0
D.14.17,0.025,0.025,0.0
D.14.18,0.016666666666666666,0.016666666666666666,0.0
D.14.19,0.025,0.025,0.0
D.14.2,0.041666666666666664,0.041666666666666664,0.0
D.14.20,0.016666666666666666,0.016666666666666666,0.0
D.14.21,0.03333333333333333,0.03333333333333333,0.0
D.14.22,0.016666666666666666,0.016666666666666666,0.0
D.14.23,0.03333333333333333,0.03333333333333333,0.0
D.14.3,0.025,0.025,0.0
D.14.4,0.025,0.025,0.0
D.14.5,0.0,0.0,0.0
D.14.6,0.008333333333333333,0.008333333333333333,0.0
D.14.7,0.058333333333333334,0.058333333333333334,0.0
D.14.8,0.016666666666666666,0.016666666666666666,0.0
D.14.9,-0.008333333333333333,-0.008333333333333333,0.0
D.15.0,0.025,0.025,0.0
D.15.1,0.016666666666666666,0.016666666666666666,0.0
D.15.10,0.058333333333333334,0.058333333333333334,0.0
D.15.11,0.03333333333333333,0.03333333333333333,0.0
D.15.12,0.016666666666666666,0.016666666666666666,0.0
D.15.13,0.025,0.025,0.0
D.15.14,0.058333333333333334,0.058333333333333334,0.0
D.15.15,0.0,0.0,0.0
D.15.16,0.016666666666666666,0.016666666666666666,0.0
D.15.17,0.025,0.025,0.0
D.15.18,0.025,0.025,0.0
D.15.19,0.008333333333333333,0.008333333333333333,0.0
D.15.2,0.025,0.025,0.0
D.15.20,0.041666666666666664,0.041666666666666664,0.0
