route,S,N,R,K_reference,K_fresh,controller_split_role,rows_per_subspace_orientation,semantic_rows,projected_spark1_hours
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,18800,376000,184.5402777777778
ROUTE_2,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,18800,394800,193.76729166666667
ROUTE_1,20,100,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,12800,256000,125.64444444444445
ROUTE_2,20,100,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,12800,268800,131.92666666666668
ROUTE_1,20,100,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,37600,752000,369.0805555555556
ROUTE_2,20,100,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,37600,789600,387.53458333333333
ROUTE_1,20,100,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,25600,512000,251.2888888888889
ROUTE_2,20,100,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,25600,537600,263.85333333333335
ROUTE_1,20,150,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,28200,564000,276.8104166666667
ROUTE_2,20,150,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,28200,592200,290.6509375
ROUTE_1,20,150,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,19200,384000,188.46666666666667
ROUTE_2,20,150,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,19200,403200,197.89000000000001
ROUTE_1,20,150,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,1128000,553.6208333333334
ROUTE_2,20,150,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,1184400,581.301875
ROUTE_1,20,150,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,768000,376.93333333333334
ROUTE_2,20,150,4,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,806400,395.78000000000003
ROUTE_1,20,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,1128000,553.6208333333334
ROUTE_2,20,300,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,56400,1184400,581.301875
ROUTE_1,20,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,768000,376.93333333333334
ROUTE_2,20,300,2,20,12,PLANNING_SENSITIVITY_ONLY_NOT_AN_AUTHORIZED_IDENTITY_CHANGE,38400,806400,395.78000000000003
ROUTE_1,20,300,4,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,112800,2256000,1107.2416666666668
