route,S,N,R,K_reference,K_fresh,controller_split_role,subspace_sd,generic_random_mean,scenario,learned_advantage,measurement_sd,rejection_rate,wilson_low,wilson_high,mean_contrast,contrast_bias,contrast_sd,random_mean_interval_width_approx,leave_one_subspace_rejection_stability,minimum_attainable_p,minimum_attainable_p_after_one_deletion
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,NULL,0.0,0.10392304845413262,0.0501,0.04716208578848323,0.053210708254799705,-8.09597725440681e-05,-8.09597725440681e-05,0.14902776699427722,0.12626992431599512,0.0501,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,MODEST_0_05,0.05,0.10392304845413262,0.08855,0.08469134114891107,0.09256668532165745,0.05108634992731537,0.0010863499273153707,0.14840264494815777,0.1263628060223162,0.08855,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,MODEST_0_10,0.1,0.10392304845413262,0.14605,0.1412235619745754,0.1510123803495411,0.09893942534187058,-0.0010605746581294206,0.14656190560327811,0.12627358946378822,0.14605,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.10392304845413262,0.29345,0.2871795325761906,0.29979979751858615,0.17944293203914544,-0.0018505460472238722,0.14799990230818033,0.1266565218102786,0.29345,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.15,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.10392304845413262,0.72015,0.7138865033229815,0.7263289432015154,0.36350408267209433,0.0009171264993557138,0.1487232009430037,0.12626684989072415,0.72015,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,NULL,0.0,0.10392304845413262,0.04895,0.04604537572539664,0.05202786000081535,0.0010979456298538686,0.0010979456298538686,0.1481363502133409,0.12640317312711577,0.04895,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,MODEST_0_05,0.05,0.10392304845413262,0.08725,0.08341779998187722,0.09124072578243712,0.050418798245510196,0.0004187982455101935,0.146706415436792,0.12655323067467222,0.08725,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,MODEST_0_10,0.1,0.10392304845413262,0.14925,0.14437891487609403,0.1542557984172633,0.10007148340903785,7.148340903784245e-05,0.14777345380290358,0.12619086735952142,0.14925,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.10392304845413262,0.29715,0.29085581877255656,0.30352209025540516,0.18039881824039092,-0.0008946598459783905,0.1479288364317649,0.12624157373297135,0.29715,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.35,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.10392304845413262,0.7195,0.7132322199552952,0.7256834762160749,0.36214898326861816,-0.00043797290412045387,0.1458992299395668,0.12626273605186467,0.7195,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,NULL,0.0,0.10392304845413262,0.0476,0.04473503763636102,0.05063871658720246,0.0009123593706255828,0.0009123593706255828,0.1479158222738313,0.12634057819707264,0.0476,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,MODEST_0_05,0.05,0.10392304845413262,0.08605,0.08224245445818024,0.09001653219266878,0.05088096097982771,0.0008809609798277052,0.1470154228837414,0.12643416097669335,0.08605,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,MODEST_0_10,0.1,0.10392304845413262,0.14905,0.14418168214117116,0.1540531079666086,0.09828403769074223,-0.0017159623092577736,0.14754434203669384,0.126350472659321,0.14905,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.10392304845413262,0.29245,0.2861860276961317,0.29879368647075727,0.1790317078840073,-0.0022617702023620123,0.14378436020264015,0.12655478455792624,0.29245,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.1,0.55,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.10392304845413262,0.7135,0.7071934389159195,0.7197245616881239,0.3378649064465564,-0.024722049726182194,0.11609912462833244,0.12616807131308985,0.7135,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,NULL,0.0,0.10392304845413262,0.04855,0.04565706083709486,0.05161632851796202,0.0005595190902397699,0.0005595190902397699,0.22855387457152668,0.1975520398128026,0.04855,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,MODEST_0_05,0.05,0.10392304845413262,0.0736,0.07006244953437875,0.07730131881426729,0.05191106348255308,0.0019110634825530784,0.22986283356010595,0.19786759872189616,0.0736,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,MODEST_0_10,0.1,0.10392304845413262,0.1042,0.10004152137576822,0.10851049436624421,0.10160886499510376,0.001608864995103751,0.23043650322595038,0.19792668806484004,0.1042,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,TWENTY_FIVE_PERCENT_OF_OBSERVED,0.1812934780863693,0.10392304845413262,0.17285,0.1676726056637956,0.1781530435277136,0.18063630658768265,-0.0006571714986866595,0.2289404459404016,0.19744662352660358,0.17285,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.15,FIFTY_PERCENT_OF_OBSERVED,0.3625869561727386,0.10392304845413262,0.4161,0.40928548290160593,0.4229467407486085,0.3619147098280661,-0.0006722463446725002,0.22947248225864328,0.19769930089544935,0.4161,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.35,NULL,0.0,0.10392304845413262,0.0478,0.0449291212096122,0.05084455619952883,-0.0023243464742708857,-0.0023243464742708857,0.23247988100954914,0.1973597271247689,0.0478,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.35,MODEST_0_05,0.05,0.10392304845413262,0.07085,0.06737592824480618,0.07448889630214842,0.04993154670070927,-6.845329929073413e-05,0.23082706576144985,0.19724390429172273,0.07085,0.047619047619047616,0.05
ROUTE_1,20,100,2,31,16,REQUIRED_FULL_47_IDENTITY_DESIGN,0.2,0.35,MODEST_0_10,0.1,0.10392304845413262,0.1027,0.09856886629930472,0.10698372555087601,0.1006249528675905,0.0006249528675904975,0.22887360903170256,0.19749755991549678,0.1027,0.047619047619047616,0.05
