K,scenario,controller_profile_nuisance,replicates,mean_latent_rho,mean_true_rho,mean_observed_rho,sampling_q025,sampling_q975,sampling_95_width,permutation_power_or_fpr,permutation_mc_se,all_lofo_positive_rate,mean_lofo_min
6,THREE_QUARTER_PRIOR,0.5,240,0.4232528630061837,0.22043195688356979,0.16424030250738988,0.05528283433464412,0.2788744501283619,0.22359161579371775,0.7625,0.027469206243840878,0.9791666666666666,0.12283734869783602
6,THREE_QUARTER_PRIOR,1.0,240,0.4226502602309054,0.06505608679232969,0.058896472878374295,-0.07209073892067333,0.19792282723310126,0.2700135661537746,0.225,0.026954823316059782,0.5833333333333334,0.01407821646060858
8,THREE_QUARTER_PRIOR,0.5,240,0.42271937101940477,0.2177637971239798,0.16079993804106085,0.05596444120929819,0.2542454314002166,0.1982809901909184,0.8791666666666667,0.021038916211876754,0.9875,0.12986563037552587
8,THREE_QUARTER_PRIOR,1.0,240,0.4224945917927948,0.08018035476108429,0.07279036972681427,-0.06359993503521351,0.1800674451553,0.24366738019051348,0.2791666666666667,0.02895633486309522,0.7791666666666667,0.040709918412094336
10,THREE_QUARTER_PRIOR,0.5,240,0.42275234813292345,0.2160868336718619,0.16209234274133014,0.06396934235030013,0.2454253157643894,0.18145597341408926,0.9458333333333333,0.014610589608352698,0.9958333333333333,0.13488927720162103
10,THREE_QUARTER_PRIOR,1.0,240,0.4228564930855915,0.07942675211618126,0.07099768940516844,-0.0415848024251614,0.18263992085856337,0.22422472328372478,0.37083333333333335,0.031179318213509083,0.775,0.04042684583791799
12,THREE_QUARTER_PRIOR,0.5,240,0.42320174455047965,0.21811998669113664,0.16019607759524762,0.08271584465514362,0.24942369226541192,0.1667078476102683,0.975,0.010077822185373191,0.9958333333333333,0.13722194647374014
12,THREE_QUARTER_PRIOR,1.0,240,0.4227216769198839,0.0785950248410617,0.07244617120526074,-0.02732482349289427,0.17490912022900054,0.20223394372189482,0.4166666666666667,0.031823442326082224,0.8333333333333334,0.04796742271926453
16,THREE_QUARTER_PRIOR,0.5,240,0.42338007967977304,0.21536751934710255,0.15553166800137713,0.08037475837935369,0.22993633632881588,0.14956157794946218,0.9958333333333333,0.0041579770499785215,0.9958333333333333,0.13763285530422226
16,THREE_QUARTER_PRIOR,1.0,240,0.4227968978747035,0.07983552299459842,0.07163250722067087,-0.0034028180694870873,0.1719710243580739,0.175373842427561,0.5166666666666667,0.03225692575648304,0.8916666666666667,0.05151926235132345
