K,scenario,target_rho,replicates,planning_permutations,final_permutations,future_trajectories,mean_latent_rho,mean_true_rho,mean_observed_rho,sampling_q025,sampling_q975,sampling_95_width,permutation_power_or_fpr,permutation_mc_se,all_lofo_positive_rate,mean_lofo_min
6,NULL,0.0,240,720,720,7200,0.03043717859657139,0.030863921537545826,0.024273894352619094,-0.058711755097159424,0.12621004113177567,0.1849217962289351,0.058333333333333334,0.015128691774731046,0.38333333333333336,-0.013233802016332894
6,HALF_PRIOR,0.2819091742016503,240,720,720,7200,0.28146734797588685,0.27460171228672176,0.1670080735905067,0.08323331284422751,0.24887776793207061,0.1656444550878431,0.8833333333333333,0.02072192433506474,0.9958333333333333,0.13044412553219714
6,THREE_QUARTER_PRIOR,0.42286376130247544,240,720,720,7200,0.42276997888003576,0.4059003880540883,0.23030441985189673,0.13797464081952665,0.3172479493146688,0.17927330849514217,0.9958333333333333,0.0041579770499785215,1.0,0.1950083663525115
6,FULL_PRIOR,0.5638183484033006,240,720,720,7200,0.5637261195989848,0.538229159381911,0.29514972941301826,0.20622757957847648,0.38999199124509576,0.18376441166661928,1.0,0.0,1.0,0.2614877327588517
8,NULL,0.0,240,999,40320,9600,0.025524505623381603,0.024481834219468968,0.018713482848291364,-0.06563700320070977,0.10944078532120712,0.17507778852191688,0.06666666666666667,0.016101529717988266,0.42083333333333334,-0.011550309291607814
8,HALF_PRIOR,0.2819091742016503,240,999,40320,9600,0.28180714565195614,0.27320631290999187,0.16756052632001764,0.09110942857792365,0.24044452259485005,0.1493350940169264,0.9666666666666667,0.011587029785896782,1.0,0.13821714777339403
8,THREE_QUARTER_PRIOR,0.42286376130247544,240,999,40320,9600,0.42318612310021064,0.40820586118799346,0.238864206649115,0.16285873882489796,0.3161208401754681,0.15326210135057014,1.0,0.0,1.0,0.2119929501346041
8,FULL_PRIOR,0.5638183484033006,240,999,40320,9600,0.563631930752919,0.5407808653970723,0.30290518293484764,0.22343867950434992,0.37975450464938,0.15631582514503006,1.0,0.0,1.0,0.27615547126647483
10,NULL,0.0,240,999,50000,12000,0.02767504210207954,0.027164766072890558,0.01626058149356989,-0.04934954595810248,0.09850121463238733,0.1478507605904898,0.058333333333333334,0.015128691774731046,0.3958333333333333,-0.010676430088311921
10,HALF_PRIOR,0.2819091742016503,240,999,50000,12000,0.28244867943642793,0.27537253920604055,0.16764319048445472,0.08968882801185617,0.24599826071261574,0.1563094327007596,0.9791666666666666,0.00921938753288317,1.0,0.1422236821364874
10,THREE_QUARTER_PRIOR,0.42286376130247544,240,999,50000,12000,0.42214697108391913,0.4050163087864027,0.2340934532928113,0.1554381316285559,0.3105636098931887,0.1551254782646328,1.0,0.0,1.0,0.20956977617370542
10,FULL_PRIOR,0.5638183484033006,240,999,50000,12000,0.5634673718534213,0.5386280831360402,0.30678681586221435,0.2400559542050264,0.3760875353490572,0.1360315811440308,1.0,0.0,1.0,0.2838053349326101
12,NULL,0.0,240,999,50000,14400,0.02204501061764143,0.02223207180803099,0.012175378056716805,-0.04639294398132561,0.0766954517912837,0.12308839577260931,0.029166666666666667,0.010862007990817931,0.4,-0.009661005729037327
12,HALF_PRIOR,0.2819091742016503,240,999,50000,14400,0.28207481802685835,0.27309508346750583,0.1662818025251178,0.10207699705493622,0.22649785303103379,0.12442085597609756,0.9958333333333333,0.0041579770499785215,1.0,0.14572341873730127
12,THREE_QUARTER_PRIOR,0.42286376130247544,240,999,50000,14400,0.42293770604242437,0.4081157608473101,0.23685171588093004,0.1793650672200153,0.2992092082738187,0.1198441410538034,1.0,0.0,1.0,0.2166958802949209
12,FULL_PRIOR,0.5638183484033006,240,999,50000,14400,0.5639512783944886,0.540888897429675,0.3030217537063854,0.23300722765400156,0.3634309297769186,0.13042370212291704,1.0,0.0,1.0,0.2839409801284553
16,NULL,0.0,240,999,50000,19200,0.01498468490971899,0.015492100534126889,0.00950516995308368,-0.040460313987189155,0.06965183755030946,0.11011215153749862,0.041666666666666664,0.012898733070143548,0.37916666666666665,-0.00804753679822204
16,HALF_PRIOR,0.2819091742016503,240,999,50000,19200,0.28179705063223925,0.2728820677814034,0.16086207734480626,0.1090903277353935,0.2162754500203998,0.1071851222850063,1.0,0.0,1.0,0.144273322549468
16,THREE_QUARTER_PRIOR,0.42286376130247544,240,999,50000,19200,0.42230779266672047,0.4074099818444719,0.23168752427547074,0.1721751429759265,0.2901258891364864,0.1179507461605599,1.0,0.0,1.0,0.21528248255182997
16,FULL_PRIOR,0.5638183484033006,240,999,50000,19200,0.5632659368560664,0.5380263173206724,0.29627356459315923,0.23863719147346613,0.3551876024409676,0.11655041096750146,1.0,0.0,1.0,0.28061042190104785
