metric,scenario,kind,method,replicates,rejections,rate,Wilson_95_low,Wilson_95_high,mean_estimate,coverage
A0,STRICT_EXCHANGEABLE_SYMMETRIC_NULL,null,HISTORICAL_CONTROLLER_LABEL_QAP,5000,240,0.048,0.042413931418707994,0.05428007113962365,-9.851454631740872e-05,NA
A0,STRICT_EXCHANGEABLE_SYMMETRIC_NULL,null,NODE_JACKKNIFE_PSEUDOVALUE_T,5000,46,0.0092,0.0069047385482477065,0.012248837681020369,-9.8514515412929e-05,0.9908
A0,NODE_HETEROGENEITY_NULL,null,HISTORICAL_CONTROLLER_LABEL_QAP,5000,211,0.0422,0.03696993196904638,0.04813297593184793,0.0004088342925539739,NA
A0,NODE_HETEROGENEITY_NULL,null,NODE_JACKKNIFE_PSEUDOVALUE_T,5000,0,0.0,0.0,0.0007677019450571244,0.0004088342913203511,1.0
A0,HEAVY_NODE_HETEROGENEITY_NULL,null,HISTORICAL_CONTROLLER_LABEL_QAP,5000,152,0.0304,0.025989912325785784,0.035531113341011875,0.00027131207479507655,NA
A0,HEAVY_NODE_HETEROGENEITY_NULL,null,NODE_JACKKNIFE_PSEUDOVALUE_T,5000,0,0.0,0.0,0.0007677019450571244,0.0002713121159896308,1.0
A0,SAFETY_AXIS_HETEROGENEITY_NULL,null,HISTORICAL_CONTROLLER_LABEL_QAP,5000,204,0.0408,0.035659936585538905,0.046645120880801576,-4.269303168490311e-05,NA
A0,SAFETY_AXIS_HETEROGENEITY_NULL,null,NODE_JACKKNIFE_PSEUDOVALUE_T,5000,0,0.0,0.0,0.0007677019450571244,-4.2693001761614013e-05,1.0
A0,POSITIVE_RHO_LIKE_0_15,alternative,HISTORICAL_CONTROLLER_LABEL_QAP,3000,3000,1.0,0.9987211512746742,1.0000000000000002,0.2003136213290262,NA
A0,POSITIVE_RHO_LIKE_0_15,alternative,NODE_JACKKNIFE_PSEUDOVALUE_T,3000,3000,1.0,0.9987211512746742,1.0000000000000002,0.20031362096018301,0.0
A1,STRICT_EXCHANGEABLE_SYMMETRIC_NULL,null,HISTORICAL_CONTROLLER_LABEL_QAP,5000,242,0.0484,0.04279030408863613,0.05470308430813947,-0.000438268030033212,NA
A1,STRICT_EXCHANGEABLE_SYMMETRIC_NULL,null,NODE_JACKKNIFE_PSEUDOVALUE_T,5000,52,0.0104,0.007939964636342375,0.013611769108257562,-0.00043826802073835023,0.9896
A1,NODE_HETEROGENEITY_NULL,null,HISTORICAL_CONTROLLER_LABEL_QAP,5000,219,0.0438,0.03846909782873126,0.04983135342593886,7.352021451063304e-05,NA
A1,NODE_HETEROGENEITY_NULL,null,NODE_JACKKNIFE_PSEUDOVALUE_T,5000,0,0.0,0.0,0.0007677019450571244,7.352022036884082e-05,1.0
A1,HEAVY_NODE_HETEROGENEITY_NULL,null,HISTORICAL_CONTROLLER_LABEL_QAP,5000,159,0.0318,0.027284421471199274,0.03703445463015224,-0.00010906506834727092,NA
