candidate_count,p_at_least_10_safe_p_0_6,p_at_least_10_safe_p_0_65,p_at_least_10_safe_p_0_7,p_at_least_10_safe_p_0_75,p_at_least_10_safe_p_0_775,p_at_least_10_safe_p_0_8,p_at_least_10_safe_p_0_85,p_at_least_10_safe_p_0_9
12,0.08344332287999998,0.15128757833526738,0.2528153478549999,0.39067500829696655,0.4716820186853191,0.5583457484800002,0.7358180862234508,0.889130022255
16,0.527174113591296,0.6881463432989903,0.8246866306931244,0.9204427481163293,0.9517953024063877,0.973342668488704,0.9944137391243274,0.9994954655076524
19,0.8139079785845883,0.9125263996298264,0.967446643118699,0.9910967206960777,0.9959981019319025,0.9984208794508329,0.9998564926310839,0.9999960701176728
22,0.9448935305480063,0.9820370315058339,0.9956722876703679,0.9992995107710385,0.9997682426714222,0.9999352060294432,0.9999974774905129,0.9999999792667288
24,0.978341948670397,0.9945114969491301,0.9990165335841982,0.9998883477204785,0.9999699493790418,0.999993335713868,0.9999998530519334,0.9999999994600571
28,0.9973297946935304,0.9995950849406904,0.9999601820327169,0.9999977902320619,0.999999607486792,0.9999999453641587,0.999999999615193,0.9999999999997184
32,0.9997385316670603,0.9999764511304327,0.9999987366924222,0.9999999658926898,0.999999996009939,0.999999999652055,0.9999999999992198,0.9999999999999999
36,0.9999784531430845,0.9999988521383423,0.9999999665162749,0.9999999995613781,0.9999999999662441,0.9999999999981578,0.9999999999999987,1.0
40,0.9999984464516313,0.9999999511665187,0.999999999226945,0.9999999999950945,0.9999999999997519,0.9999999999999916,1.0,1.0
48,0.9999999940137969,0.9999999999347658,0.9999999999996969,0.9999999999999996,1.0,1.0,0.9999999999999999,1.0
56,0.9999999999827609,0.999999999999935,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
64,0.9999999999999598,1.0,1.0,1.0,1.0,1.0,1.0,1.0
