candidate_count,scenario,p_safe,replicates,reserve_probability,reserve_ci95_low,reserve_ci95_high,selected_gate_probability_given_reserve,unconditional_selected_qualification_probability,unconditional_selected_ci95_low,unconditional_selected_ci95_high,candidate_and_selected_joint_probability,candidate_gate_and_reserve_probability,inference_aligned_selected_probability_given_reserve,unconditional_inference_aligned_qualification_probability,candidate_and_inference_aligned_joint_probability,selected_pass_given_full_candidate_failure,selected_pass_given_candidate_condition_failure,selected_rank_pass_given_reserve,selected_effective_rank_pass_given_reserve,selected_condition_pass_given_reserve,selected_pair_cosine_pass_given_reserve,selected_cross_block_spread_pass_given_reserve
12,INDEPENDENT,0.6,20000,0.0813,0.0775923060252502,0.08516850496813179,0.7300123001230012,0.05935,0.056159247661147764,0.06270999371509724,0.0013,0.00135,0.9674046740467405,0.07865,0.00135,0.726078799249531,0.726078799249531,1.0,0.9686346863468634,0.7380073800738007,0.9981549815498155,1.0
12,INDEPENDENT,0.65,20000,0.15235,0.14743641064219745,0.1573971120276121,0.7197243190022974,0.10965,0.10539443016185568,0.11405549238714519,0.00245,0.00255,0.9698063669182803,0.14775,0.00255,0.7156208277703605,0.7156208277703605,1.0,0.9704627502461437,0.7282573022645225,0.9990154250082048,1.0
12,INDEPENDENT,0.7,20000,0.25675,0.2507429276200903,0.2628504979212045,0.7195715676728335,0.18475,0.17943209686973638,0.19018898186363753,0.0043,0.0047,0.9711781888997079,0.24935,0.0047,0.7159293790914502,0.7159293790914502,1.0,0.9715676728334957,0.7293086660175268,0.9994157740993184,1.0
12,INDEPENDENT,0.75,20000,0.39335,0.38660105137454875,0.40013990991621834,0.7270878352612178,0.286,0.2797788102179903,0.2923033812140225,0.006,0.0063,0.9738146688699632,0.38305,0.0063,0.7234207466735564,0.7234207466735564,1.0,0.9740688953857888,0.7354773102834625,0.9996186602262616,1.0
12,INDEPENDENT,0.775,20000,0.47305,0.4661363919134016,0.4799739588300225,0.724976218158757,0.34295,0.3364019063475749,0.34955841217764755,0.0074,0.00775,0.9744213085297537,0.46095,0.00775,0.7211476466795615,0.7211476466795615,1.0,0.974738399746327,0.733326286861854,0.9995772117112356,1.0
12,INDEPENDENT,0.8,20000,0.5592,0.5523085060286812,0.566068756902276,0.723175965665236,0.4044,0.39761730987369676,0.4112194074202304,0.0086,0.009,0.974964234620887,0.5452,0.009,0.7193747728098873,0.7193747728098873,1.0,0.9752324749642346,0.7305972818311874,0.9996423462088698,1.0
12,INDEPENDENT,0.85,20000,0.7355,0.7293424362184513,0.7415671147991234,0.7237933378653977,0.53235,0.5254294487233111,0.539258126543859,0.01235,0.01295,0.9749830047586676,0.7171,0.01295,0.7196733790049131,0.7196733790049131,1.0,0.9751869476546567,0.730931339225017,0.9996600951733514,1.0
12,INDEPENDENT,0.9,20000,0.89005,0.8856393783375073,0.8943108143351256,0.7264198640525813,0.64655,0.6398972464561252,0.6531464677758305,0.0153,0.01625,0.9761249368013033,0.8688,0.01625,0.7224193179217212,0.7224193179217212,1.0,0.9762934666591765,0.7323184090781417,0.9997191169035448,1.0
12,WEAK_AXIS4,0.6,20000,0.08285,0.07910931662681348,0.0867508990547946,0.7103198551599276,0.05885,0.05567229183680263,0.06219714157549847,0.0015,0.0017,0.971635485817743,0.0805,0.0017,0.7067159581022797,0.7067159581022797,1.0,0.971635485817743,0.7175618587809294,1.0,1.0
12,WEAK_AXIS4,0.65,20000,0.149,0.1441323744363709,0.15400243487501453,0.7298657718120806,0.10875,0.10451022509103525,0.11314004312286663,0.00255,0.0028,0.9781879194630873,0.14575,0.0028,0.7264021887824897,0.7264021887824897,1.0,0.9781879194630873,0.7359060402684564,1.0,1.0
12,WEAK_AXIS4,0.7,20000,0.2529,0.24692367841845964,0.2589712258004673,0.7184657967576117,0.1817,0.17641728391127165,0.18710496624204453,0.00445,0.00475,0.9764729141953341,0.24695,0.00475,0.7142857142857143,0.7142857142857143,1.0,0.9766706207987347,0.7238038750494267,0.9998022933965994,1.0
12,WEAK_AXIS4,0.75,20000,0.3937,0.3869499272735883,0.40049089959193956,0.7200914401828804,0.2835,0.27729581079751375,0.2897873408147795,0.00675,0.00705,0.9761239522479045,0.3843,0.00705,0.7157636105004526,0.7157636105004526,1.0,0.976250952501905,0.7265684531369063,0.9998729997459995,1.0
12,WEAK_AXIS4,0.775,20000,0.47515,0.46823447945669056,0.4820750647352979,0.7227191413237924,0.3434,0.33684976049375404,0.35001038519901795,0.0087,0.00905,0.9771651057560771,0.4643,0.00905,0.7180862475863549,0.7180862475863549,1.0,0.9772703356834683,0.7292433968220562,0.9998947700726086,1.0
12,WEAK_AXIS4,0.8,20000,0.5606,0.5537105778027301,0.5674661474272699,0.7250267570460222,0.40645,0.3996614450445008,0.4132744849015963,0.0103,0.01055,0.9769889404209775,0.5477,0.01055,0.7202072538860104,0.7202072538860104,1.0,0.9771673207277917,0.7313592579379237,0.9998216196931858,1.0
12,WEAK_AXIS4,0.85,20000,0.7351,0.7289395572750947,0.7411701473713248,0.7228948442388791,0.5314,0.5244787903509863,0.5383091497846902,0.0129,0.0133,0.9770779485784247,0.71825,0.0133,0.7183430313106124,0.7183430313106124,1.0,0.9772139844919059,0.7294245680859747,0.9997959461297783,1.0
12,WEAK_AXIS4,0.9,20000,0.88705,0.8825886394779491,0.8913627054110204,0.7211543881404656,0.6397,0.6330202077514401,0.6463261373744843,0.01555,0.01655,0.9770587903725833,0.8667,0.01655,0.7170017231476163,0.7170017231476163,1.0,0.9771715235894256,0.7277492813257427,0.9997745335663153,1.0
12,MODERATE_AXIS4,0.6,20000,0.08445,0.08067567943217935,0.08838392173404919,0.7063351095322676,0.05965,0.05645145268491141,0.06301767346969993,0.0014,0.0015,0.9775014801657785,0.08255,0.0015,0.7022302591922845,0.7022302591922845,1.0,0.9775014801657785,0.7140319715808171,1.0,1.0
12,MODERATE_AXIS4,0.65,20000,0.1538,0.1488667768877063,0.15886618887754048,0.7106631989596879,0.1093,0.10505056165498668,0.11369949531925345,0.00295,0.00315,0.976592977893368,0.1502,0.00315,0.7059409226684368,0.7059409226684368,1.0,0.976592977893368,0.7181404421326398,1.0,1.0
12,MODERATE_AXIS4,0.7,20000,0.2536,0.24761804114416078,0.25967659422428757,0.7115536277602523,0.18045,0.17518186654718443,0.185840863696272,0.0046,0.00485,0.9749605678233438,0.24725,0.00485,0.7069346733668341,0.7069346733668341,1.0,0.9751577287066246,0.7196372239747634,0.9998028391167192,1.0
