replicate,p_value_1000_maps,p_value_50000_maps
0,0.81,0.79912
1,0.716,0.73308
2,0.837,0.85802
3,0.218,0.19696
4,0.063,0.059
5,0.709,0.69514
6,0.881,0.8802
7,0.587,0.57988
8,0.437,0.4645
9,0.548,0.55682
10,0.782,0.78712
11,0.913,0.91584
12,0.414,0.42862
13,0.965,0.96198
14,0.844,0.85034
15,0.894,0.90054
16,0.268,0.27142
17,0.908,0.91406
18,0.582,0.59434
19,0.648,0.62504
20,0.084,0.08944
21,0.556,0.59656
22,0.802,0.79848
23,0.063,0.05892
24,0.535,0.57272
25,0.6,0.58934
26,0.031,0.0277
27,0.634,0.65184
28,0.404,0.387
29,0.355,0.33678
30,0.538,0.51476
31,0.818,0.8168
32,0.346,0.32994
33,0.823,0.83576
34,0.671,0.66116
35,0.959,0.94906
36,0.001,0.00044
37,0.254,0.25348
38,0.083,0.07796
39,0.61,0.59228
40,0.756,0.77062
41,0.522,0.53452
42,0.043,0.0379
43,0.793,0.79366
44,0.934,0.92794
45,0.135,0.12222
46,0.636,0.63308
47,0.94,0.94614
48,0.688,0.69762
49,0.168,0.15326
50,0.09,0.08726
51,0.98,0.98598
52,0.7,0.67722
53,0.217,0.20234
54,0.752,0.72798
55,0.969,0.97062
56,0.336,0.33434
57,0.231,0.22638
58,0.701,0.6899
59,0.589,0.57152
60,0.985,0.98434
61,0.152,0.14776
62,0.657,0.66694
63,0.242,0.23172
64,0.782,0.78528
65,0.476,0.46726
66,0.102,0.08928
67,0.56,0.5648
68,0.013,0.00942
69,0.771,0.76072
70,0.096,0.10246
71,0.255,0.23416
72,0.503,0.49108
73,0.682,0.69176
74,0.888,0.89056
75,0.372,0.35116
76,0.105,0.10188
77,0.696,0.69722
78,0.158,0.15532
79,0.184,0.1916
80,0.386,0.37856
81,0.927,0.93116
82,0.149,0.1612
83,0.111,0.1041
84,0.477,0.48154
85,0.827,0.83458
86,0.638,0.6243
87,0.831,0.8429
88,0.994,0.99244
89,0.212,0.20212
90,0.216,0.2347
91,0.627,0.63172
92,0.053,0.06002
93,0.687,0.66064
94,0.174,0.15456
95,0.428,0.43448
96,0.937,0.94834
97,0.407,0.37672
98,0.693,0.67164
99,0.599,0.5764
100,0.516,0.51974
101,0.167,0.18554
102,0.362,0.36882
103,0.542,0.55528
104,0.805,0.803
105,0.317,0.32826
106,0.121,0.1058
107,0.836,0.84826
108,0.876,0.87968
109,0.647,0.61118
110,0.439,0.43198
111,0.106,0.09198
112,0.545,0.54392
113,0.968,0.97266
114,0.636,0.61852
115,0.811,0.82144
116,0.157,0.17056
117,0.047,0.04638
118,0.723,0.7381
119,0.692,0.67192
120,0.67,0.66712
121,0.293,0.3019
122,0.779,0.77806
123,0.274,0.28666
124,0.882,0.90226
125,0.752,0.746
126,0.327,0.32966
127,0.478,0.47512
128,0.836,0.84728
129,0.07,0.06898
130,0.599,0.58492
131,0.109,0.1125
132,0.316,0.2966
133,0.225,0.24298
134,0.497,0.50458
135,0.714,0.7164
136,0.689,0.69438
137,0.506,0.50392
138,0.444,0.41814
139,0.688,0.69054
140,0.233,0.21836
141,0.091,0.08706
142,0.35,0.33036
143,0.891,0.87742
144,0.178,0.19426
145,0.8,0.78064
146,0.9,0.89592
147,0.969,0.96946
148,0.109,0.09
149,0.303,0.30628
150,0.704,0.69342
151,0.625,0.65014
152,0.268,0.27062
153,0.342,0.32546
154,0.07,0.06382
155,0.865,0.85416
156,0.832,0.83384
157,0.115,0.11364
158,0.969,0.9703
159,0.026,0.03492
160,0.474,0.49022
161,0.325,0.32654
162,0.944,0.93856
163,0.323,0.32756
164,0.56,0.56318
165,0.567,0.58174
166,0.012,0.0125
167,0.76,0.75514
168,0.438,0.44006
169,0.129,0.12884
170,0.054,0.04422
171,0.385,0.39938
172,0.236,0.24952
173,0.298,0.33242
174,0.557,0.55804
175,0.336,0.32482
176,0.142,0.14874
177,0.652,0.63584
178,0.306,0.30068
179,0.434,0.42654
180,0.71,0.67638
181,0.649,0.6472
182,0.155,0.1567
183,0.094,0.0943
184,0.977,0.97254
185,0.979,0.97292
186,0.986,0.98218
187,0.137,0.14234
188,0.501,0.48202
189,0.107,0.10696
190,0.734,0.72534
191,0.456,0.43992
192,0.085,0.07732
193,0.217,0.22304
194,0.389,0.38058
195,0.359,0.32342
196,0.707,0.71942
197,0.971,0.97174
198,0.788,0.78964
199,0.749,0.75118
200,0.839,0.85602
201,0.814,0.81382
202,0.192,0.18384
203,0.775,0.77074
204,0.78,0.7764
205,0.64,0.6571
