replicate,p_value
0,0.81
1,0.716
2,0.837
3,0.218
4,0.063
5,0.709
6,0.881
7,0.587
8,0.437
9,0.548
10,0.782
11,0.913
12,0.414
13,0.965
14,0.844
15,0.894
16,0.268
17,0.908
18,0.582
19,0.648
20,0.084
21,0.556
22,0.802
23,0.063
24,0.535
25,0.6
26,0.031
27,0.634
28,0.404
29,0.355
30,0.538
31,0.818
32,0.346
33,0.823
34,0.671
35,0.959
36,0.001
37,0.254
38,0.083
39,0.61
40,0.756
41,0.522
42,0.043
43,0.793
44,0.934
45,0.135
46,0.636
47,0.94
48,0.688
49,0.168
50,0.09
51,0.98
52,0.7
53,0.217
54,0.752
55,0.969
56,0.336
57,0.231
58,0.701
59,0.589
60,0.985
61,0.152
62,0.657
63,0.242
64,0.782
65,0.476
66,0.102
67,0.56
68,0.013
69,0.771
70,0.096
71,0.255
72,0.503
73,0.682
74,0.888
75,0.372
76,0.105
77,0.696
78,0.158
79,0.184
80,0.386
81,0.927
82,0.149
83,0.111
84,0.477
85,0.827
86,0.638
87,0.831
88,0.994
89,0.212
90,0.216
91,0.627
92,0.053
93,0.687
94,0.174
95,0.428
96,0.937
97,0.407
98,0.693
99,0.599
100,0.516
101,0.167
102,0.362
103,0.542
104,0.805
105,0.317
106,0.121
107,0.836
108,0.876
109,0.647
110,0.439
111,0.106
112,0.545
113,0.968
114,0.636
115,0.811
116,0.157
117,0.047
118,0.723
119,0.692
120,0.67
121,0.293
122,0.779
123,0.274
124,0.882
125,0.752
126,0.327
127,0.478
128,0.836
129,0.07
130,0.599
131,0.109
132,0.316
133,0.225
134,0.497
135,0.714
136,0.689
137,0.506
138,0.444
139,0.688
140,0.233
141,0.091
142,0.35
143,0.891
144,0.178
145,0.8
146,0.9
147,0.969
148,0.109
149,0.303
150,0.704
151,0.625
152,0.268
153,0.342
154,0.07
155,0.865
156,0.832
157,0.115
158,0.969
159,0.026
160,0.474
161,0.325
162,0.944
163,0.323
164,0.56
165,0.567
166,0.012
167,0.76
168,0.438
169,0.129
170,0.054
171,0.385
172,0.236
173,0.298
174,0.557
175,0.336
176,0.142
177,0.652
178,0.306
179,0.434
180,0.71
181,0.649
182,0.155
183,0.094
184,0.977
185,0.979
186,0.986
187,0.137
188,0.501
189,0.107
190,0.734
191,0.456
192,0.085
193,0.217
194,0.389
195,0.359
196,0.707
197,0.971
198,0.788
199,0.749
200,0.839
201,0.814
202,0.192
203,0.775
204,0.78
205,0.64
206,0.093
207,0.697
208,0.634
209,0.905
210,0.88
211,0.876
212,0.753
213,0.071
214,0.761
215,0.657
216,0.178
217,0.397
218,0.961
219,0.838
220,0.526
221,0.848
222,0.007
223,0.964
224,0.726
225,0.436
226,0.568
227,0.713
228,0.345
229,0.593
230,0.525
231,0.584
232,0.094
233,0.253
234,0.766
235,0.494
