K,candidate_count,bank_index,effect,target_rho,achieved_latent_rho,replicates,mean_true_rho,mean_observed_rho,sampling_q025,sampling_q975,sampling_95_width,permutation_power_or_fpr,permutation_mc_se,all_lofo_positive_rate,mean_lofo_min
10,24,0,NULL,0.0,0.003051893057864722,75,-0.000601941076222135,-0.003877443899708173,-0.04471145686797652,0.03817494519641816,0.08288640206439468,0.0,0.0,0.2,-0.0277382920817168
10,24,0,QUARTER_PRIOR_A0,0.14095458710082515,0.13771382938763754,75,0.13226252899815344,0.08444666856307576,0.03349512144962251,0.14366291119843674,0.11016778974881423,0.64,0.055425625842204077,0.9866666666666667,0.06491790873682214
10,24,0,RHO_0_15,0.15,0.15387418015494103,75,0.14807452126822174,0.0970754167187457,0.0433813617623773,0.15508973927412956,0.11170837751175225,0.72,0.05184592558726288,0.9866666666666667,0.0731603182231972
10,24,0,HALF_PRIOR_A0,0.2819091742016503,0.28802978380158367,75,0.2825518630149218,0.16678381541078197,0.12075638215198436,0.22027764750741036,0.09952126535542599,1.0,0.0,1.0,0.14239195430138654
10,24,1,NULL,0.0,0.003839387405931182,75,0.0022652660948772924,0.0012317956438512535,-0.050125444716778045,0.05330999763991249,0.10343544235669053,0.0,0.0,0.24,-0.019436900420786333
10,24,1,QUARTER_PRIOR_A0,0.14095458710082515,0.14396705816481592,75,0.14045386931286255,0.09115285487813708,0.036102645322777197,0.14903901452831717,0.11293636920553997,0.8,0.04618802153517006,0.9733333333333334,0.06533523222540075
10,24,1,RHO_0_15,0.15,0.14990528920276772,75,0.14202152148876043,0.08817197214393684,0.014717782076224989,0.1384897423775872,0.12377196030136223,0.7333333333333333,0.05106277908033804,0.9466666666666667,0.06343945452238489
10,24,1,HALF_PRIOR_A0,0.2819091742016503,0.2842751879865824,75,0.27673379569254686,0.16364843160151382,0.10854062003412286,0.22383255154739687,0.115291931513274,1.0,0.0,1.0,0.1413776590397505
10,24,2,NULL,0.0,-0.0023260287022556377,75,-0.0021711373586848774,0.005052926783586489,-0.046897746959080375,0.05981113165151197,0.10670887861059235,0.0,0.0,0.21333333333333335,-0.020934236680763923
10,24,2,QUARTER_PRIOR_A0,0.14095458710082515,0.14563267920279793,75,0.14135406195694025,0.08270188265694267,0.033502839001433804,0.1441126753286489,0.1106098363272151,0.5066666666666667,0.05772989468846051,0.9733333333333334,0.057395901467251896
10,24,2,RHO_0_15,0.15,0.14929180895105149,75,0.14612732769868708,0.09034679258144064,0.04170450716909683,0.13760246739010057,0.09589796022100375,0.6666666666666666,0.05443310539518174,1.0,0.06491712664087322
10,24,2,HALF_PRIOR_A0,0.2819091742016503,0.2862570151950156,75,0.27612889261712303,0.16526519191778105,0.11352636024396466,0.2145469724180716,0.10102061217410695,1.0,0.0,1.0,0.1388319905475921
10,24,3,NULL,0.0,-0.002729644731290212,75,0.002838239731943101,0.0033762873285935304,-0.05196413322543149,0.07451395734112626,0.12647809056655773,0.013333333333333334,0.013244146156223414,0.25333333333333335,-0.02311651780478149
10,24,3,QUARTER_PRIOR_A0,0.14095458710082515,0.13691747321059028,75,0.13383847369765522,0.08754655022643308,0.015997633453857678,0.14716910269351532,0.13117146923965764,0.2,0.046188021535170064,0.9333333333333333,0.06094253439587051
10,24,3,RHO_0_15,0.15,0.153669149657158,75,0.1499808430083358,0.09835317876183168,0.045640962417407165,0.16196129368575693,0.11632033126834976,0.84,0.04233202097703345,1.0,0.07769138640125625
10,24,3,HALF_PRIOR_A0,0.2819091742016503,0.27640225855795886,75,0.27127721311590963,0.15248421582402033,0.07535481182143174,0.22629707766641668,0.15094226584498494,0.9466666666666667,0.025945812478802534,1.0,0.1270894081737464
10,24,4,NULL,0.0,0.0032460476746258645,75,0.0023653671667222204,0.001199532029283669,-0.05782908568148009,0.06043636578709439,0.11826545146857448,0.013333333333333334,0.013244146156223414,0.16,-0.02441819903173886
10,24,4,QUARTER_PRIOR_A0,0.14095458710082515,0.13547742600121043,75,0.1341113643222094,0.08656534143608509,0.017740776645163808,0.14285403903936422,0.12511326239420043,0.7333333333333333,0.05106277908033804,0.9733333333333334,0.06357148229421825
10,24,4,RHO_0_15,0.15,0.14720605665729797,75,0.14022013185998713,0.0878906862790111,0.033940517290387884,0.14121534733118135,0.10727483004079347,0.6533333333333333,0.05495317872381772,0.9866666666666667,0.056536570040080086
10,24,4,HALF_PRIOR_A0,0.2819091742016503,0.2805338849150523,75,0.27609992249256393,0.17201868609908966,0.107563288759496,0.2239306457925406,0.1163673570330446,0.9866666666666667,0.0132441461562234,1.0,0.1519882143805521
10,24,5,NULL,0.0,0.046521983881541516,75,0.045508171848319054,0.03198197606799011,-0.010917323078419423,0.08633557960619742,0.09725290268461684,0.0,0.0,0.49333333333333335,0.0029911293975462966
10,24,5,QUARTER_PRIOR_A0,0.14095458710082515,0.13820888337933765,75,0.136518298837657,0.09323822517024302,0.046939077017197704,0.15049426436728341,0.1035551873500857,0.72,0.05184592558726288,1.0,0.06835870074804024
