K,candidate_count,effect,target_rho,planning_banks,replicates,planning_permutations,final_permutations,mean_true_rho,mean_observed_rho,sampling_q025,sampling_q975,sampling_95_width,permutation_power_or_fpr,permutation_mc_se,all_lofo_positive_rate,mean_lofo_min
10,24,NULL,0.0,8,600,999,50000,0.006025517368009939,0.005693008930348512,-0.05564833468854024,0.06912686153094284,0.12477519621948308,0.011666666666666667,0.004383787471193442,0.2633333333333333,-0.019006896697929522
10,24,QUARTER_PRIOR_A0,0.14095458710082515,8,600,999,50000,0.1376525055310904,0.0888147980501197,0.021681158934964584,0.15279830144223733,0.13111714250727274,0.61,0.019912307751739876,0.9666666666666667,0.06405080250075
10,24,RHO_0_15,0.15,8,600,999,50000,0.14620405334686778,0.09298113225763044,0.027062172393658778,0.15423271630031993,0.12717054390666116,0.685,0.018963781268512878,0.9766666666666667,0.06739414016092016
10,24,HALF_PRIOR_A0,0.2819091742016503,8,600,999,50000,0.27530490901687743,0.16345094077671785,0.09211508479570235,0.2250095227529473,0.13289443795724495,0.985,0.004962358310319804,1.0,0.13976513259065504
12,27,NULL,0.0,8,600,999,50000,0.026344560588778886,0.014987140295816577,-0.05715435589396347,0.09746460454972651,0.15461896044368997,0.04833333333333333,0.008755685983236096,0.39666666666666667,-0.00812556334753636
12,27,QUARTER_PRIOR_A0,0.14095458710082515,8,600,999,50000,0.13744350959418455,0.08459658280108542,0.015457386658634893,0.15057618713023393,0.13511880047159905,0.6,0.02,0.965,0.06136838184408519
12,27,RHO_0_15,0.15,8,600,999,50000,0.14624415959788706,0.09686687626244908,0.03751240566402722,0.1578907537381179,0.12037834807409067,0.835,0.01515338246069174,0.995,0.07475316749794665
12,27,HALF_PRIOR_A0,0.2819091742016503,8,600,999,50000,0.2698645865118462,0.1601622687659057,0.09632271443943866,0.228826065963669,0.13250335152423035,0.9933333333333333,0.0033222036417169115,1.0,0.13898108360164663
16,34,NULL,0.0,8,600,999,50000,0.01499044962181037,0.009318260407844687,-0.04717123137286589,0.0683560937542193,0.11552732512708519,0.07333333333333333,0.010642333355954383,0.4033333333333333,-0.008742407214093688
16,34,QUARTER_PRIOR_A0,0.14095458710082515,8,600,999,50000,0.1355578675703619,0.08578811740544698,0.030303134676039248,0.139884497600684,0.10958136292464475,0.805,0.016174826119621812,0.99,0.06939594112430904
16,34,RHO_0_15,0.15,8,600,999,50000,0.14622963047099807,0.09190326392810604,0.02995639927112475,0.14343321991362784,0.11347682064250308,0.87,0.013729530217745981,0.9883333333333333,0.0740520753274755
16,34,HALF_PRIOR_A0,0.2819091742016503,8,600,999,50000,0.27351743779719706,0.16757613756611953,0.10736898992266045,0.22560076385705222,0.11823177393439177,1.0,0.0,1.0,0.14972102102109447
