K,candidate_count,scenario,replicates,exact_binomial_reserve_probability,simulated_reserve_probability,selected_gate_probability_given_reserve,unconditional_inference_aligned_qualification,qualification_ci95_low,qualification_ci95_high,qualification_mc_se
10,23,INDEPENDENT,40000,0.9650779207942765,0.965875,0.9747379319270092,0.940725,0.9383682860150729,0.9429970707668255,0.0011806933807619146
10,23,MODERATE_HISTORICAL_AXIS4,40000,0.9650779207942765,0.964575,0.9738485861648912,0.9385,0.9361032689828839,0.94081251512027,0.0012012259362834286
10,24,INDEPENDENT,40000,0.978341948670397,0.9798,0.9761175750153093,0.9553,0.953230826137589,0.9572817314500186,0.0010332220235747974
10,24,MODERATE_HISTORICAL_AXIS4,40000,0.978341948670397,0.98005,0.974006428243457,0.953675,0.9515712685364907,0.9556916011396742,0.001050939988474603
10,25,INDEPENDENT,40000,0.9868309265111141,0.9859,0.974236738005883,0.9595,0.9575236379579082,0.9613881130008128,0.0009856438251214278
10,25,MODERATE_HISTORICAL_AXIS4,40000,0.9868309265111141,0.987,0.9739361702127659,0.960525,0.9585721140693337,0.962389440033528,0.0009736108613686481
10,26,INDEPENDENT,40000,0.9921365376615623,0.991775,0.9745405964054347,0.9656,0.9637687563241424,0.9673418231021482,0.0009112716389748995
10,26,MODERATE_HISTORICAL_AXIS4,40000,0.9921365376615623,0.992975,0.9759309146755961,0.968175,0.9664093364761668,0.9698507484097945,0.000877669775242944
10,27,INDEPENDENT,40000,0.9953823233065424,0.995475,0.9743087470805395,0.96875,0.9669993785229437,0.9704105959316819,0.0008699631816921909
10,27,MODERATE_HISTORICAL_AXIS4,40000,0.9953823233065424,0.9954,0.9750602772754672,0.969475,0.9677435640473266,0.9711162711677888,0.0008601340647683945
10,28,INDEPENDENT,40000,0.9973297946935304,0.99735,0.9745826440066175,0.97085,0.9691556518211385,0.9724539193190439,0.0008411343159686212
10,28,MODERATE_HISTORICAL_AXIS4,40000,0.9973297946935304,0.9965,0.9749121926743602,0.97025,0.9685393523695471,0.9718703340033332,0.0008494842185114456
12,27,INDEPENDENT,40000,0.9663030346417437,0.966525,0.9983963167015856,0.96385,0.9619757368881596,0.9656351786335002,0.0009333163651731391
12,27,MODERATE_HISTORICAL_AXIS4,40000,0.9663030346417437,0.9645,0.998729911871436,0.96265,0.9607469091415931,0.9644642368454629,0.0009480898889345882
12,28,INDEPENDENT,40000,0.9784924350957552,0.978075,0.9986708585742402,0.975725,0.9741704894700517,0.9771881454044588,0.0007695083556239017
12,28,MODERATE_HISTORICAL_AXIS4,40000,0.9784924350957552,0.978175,0.9983643008664094,0.97545,0.9738872157782895,0.9769214719112077,0.0007737457188896098
12,29,INDEPENDENT,40000,0.9865230989242805,0.985075,0.9984265157475319,0.982625,0.9812973931320651,0.9838599165664174,0.00065332054488972
12,29,MODERATE_HISTORICAL_AXIS4,40000,0.9865230989242805,0.986425,0.9987327977291736,0.984,0.9827230704039894,0.98518397521956,0.0006273754856543251
12,30,INDEPENDENT,40000,0.9916984156137745,0.991925,0.9985886029689744,0.989575,0.9885315648878003,0.9905244100319296,0.0005078464180980313
12,30,MODERATE_HISTORICAL_AXIS4,40000,0.9916984156137745,0.991425,0.9984113775625992,0.988575,0.987485597048164,0.9895705699260626,0.0005313772053588679
12,31,INDEPENDENT,40000,0.9949670366808233,0.995,0.9985929648241206,0.99225,0.9913421041082429,0.9930633570657079,0.0004384614435728652
12,31,MODERATE_HISTORICAL_AXIS4,40000,0.9949670366808233,0.9948,0.9983162444712506,0.991875,0.9909467937890063,0.9927087394053807,0.0004488592311348862
12,32,INDEPENDENT,40000,0.9969935817423936,0.997175,0.9984205380199063,0.9943,0.993513285168549,0.9949917822936832,0.0003764143328833281
12,32,MODERATE_HISTORICAL_AXIS4,40000,0.9969935817423936,0.996975,0.9984703728779558,0.99395,0.9931411870988363,0.9946639475824701,0.0003877304959633689
16,34,INDEPENDENT,40000,0.9555588265670434,0.95465,0.9995286230555701,0.952775,0.9506524307939475,0.9548106117312647,0.0010605988800555086
16,34,MODERATE_HISTORICAL_AXIS4,40000,0.9555588265670434,0.95635,0.9993987556856799,0.954375,0.9522860674524031,0.9563766677856139,0.0010433522820097727
16,35,INDEPENDENT,40000,0.9699511268970561,0.970575,0.9997424207299797,0.968425,0.9666658578826707,0.9700941789896663,0.0008743285906196826
16,35,MODERATE_HISTORICAL_AXIS4,40000,0.9699511268970561,0.96865,0.999328962989728,0.9663,0.9644863058452832,0.9680241391428598,0.0009022791973663135
16,36,INDEPENDENT,40000,0.9800257371280651,0.9794,0.9994639575250153,0.9769,0.9753814230341329,0.9783269861763437,0.0007511056849738259
16,36,MODERATE_HISTORICAL_AXIS4,40000,0.9800257371280651,0.979875,0.9997703788748565,0.977825,0.9763354087266378,0.9792228228334294,0.0007362620011755317
16,37,INDEPENDENT,40000,0.9869340412864712,0.987275,0.999670811070877,0.9852,0.9839692030690749,0.9863376120890782,0.0006037582297575752
16,37,MODERATE_HISTORICAL_AXIS4,40000,0.9869340412864712,0.9861,0.9996197140249468,0.9837,0.9824118237426382,0.9848952794972603,0.0006331332798076559
16,38,INDEPENDENT,40000,0.9915814459021262,0.9914,0.9995713132943312,0.9887,0.9876162260404487,0.9896899169269658,0.00052849574265078
16,38,MODERATE_HISTORICAL_AXIS4,40000,0.9915814459021262,0.9917,0.9993697690833921,0.988825,0.9877468873460505,0.9898092316145518,0.0005255977400779051
16,39,INDEPENDENT,40000,0.9946527741698634,0.994475,0.9995726388295332,0.992025,0.9911048591479824,0.9928506452382303,0.00044473023775655154
16,39,MODERATE_HISTORICAL_AXIS4,40000,0.9946527741698634,0.9949,0.9993466680068348,0.992175,0.991263002496068,0.9929924730819701,0.0004405612719872223
