true_m2_margin,N,point_margin_both_ge_0_10_rate,paired_item_lower_both_positive_rate,combined_effect_and_precision_rate
0.0,200,0.0668,0.01505,0.01505
0.0,300,0.0485,0.01945,0.01945
0.0,400,0.0395,0.0243,0.0243
0.05,200,0.1654,0.0464,0.0464
0.05,300,0.149,0.07295,0.07295
0.05,400,0.13595,0.09795,0.09795
0.1,200,0.332,0.13085,0.13085
0.1,300,0.32875,0.1987,0.1987
0.1,400,0.336,0.26455,0.26455
0.15,200,0.54245,0.28155,0.28155
0.15,300,0.567,0.40335,0.40335
0.15,400,0.591,0.5075,0.5075
