true_effect,N,dirs_7of8,dirs_8of8,families_4of4,bootstrap_proxy_lower_positive,recommended_radial_gate
0.0,200,0.082,0.035,0.067,0.138,0.042
0.0,300,0.081,0.037,0.072,0.159,0.051
0.0,400,0.076,0.037,0.062,0.203,0.051
0.03,200,0.563,0.358,0.51,0.777,0.45
0.03,300,0.57,0.389,0.521,0.81,0.489
0.03,400,0.614,0.435,0.542,0.88,0.525
0.05,200,0.867,0.699,0.808,0.977,0.799
0.05,300,0.887,0.766,0.848,0.99,0.842
0.05,400,0.904,0.808,0.87,0.991,0.864
0.08,200,0.987,0.959,0.979,1.0,0.979
0.08,300,0.994,0.975,0.989,1.0,0.988
0.08,400,0.998,0.993,0.997,1.0,0.997
