scenario,nominal_rho,N,repetitions,achieved_true_rho_mean,observed_rho_mean,observed_rho_q025,observed_rho_q975,observed_interval_width,estimation_bias,estimation_rmse,median_item_bootstrap_width,bootstrap_lower_positive_rate,global_qap_rejection_rate,m2_maxT_rejection_rate,family_3of4_rate,family_4of4_rate,both_shells_positive_rate,lodo_8of8_rate,lodo_7of8_rate,rho_gate_rate,recommended_full_gate_rate
BALANCED,0.0,200,240,-0.007182400932400934,0.0005315833930616419,-0.2759361642875848,0.2955252754786179,0.5714614397662027,0.007713984325462571,0.12562645722207458,0.33147945804195805,0.0875,0.0875,0.020833333333333332,0.37083333333333335,0.1,0.23333333333333334,0.17083333333333334,0.2833333333333333,0.04583333333333333,0.020833333333333332
BALANCED,0.0,300,240,-0.007182400932400934,-3.4222608453693407e-05,-0.3113871458955866,0.2673539120410879,0.5787410579366745,0.007148178323947237,0.11423543025543313,0.31831293706293706,0.10833333333333334,0.07916666666666666,0.0125,0.37916666666666665,0.125,0.24166666666666667,0.17083333333333334,0.25,0.041666666666666664,0.0125
BALANCED,0.0,400,240,-0.007182400932400934,-0.0013391102200127278,-0.31553089524392763,0.2774066312065093,0.592937526450437,0.005843290712388206,0.10451298616697421,0.29700611888111894,0.10416666666666667,0.07916666666666666,0.016666666666666666,0.35833333333333334,0.10416666666666667,0.23333333333333334,0.17083333333333334,0.25416666666666665,0.041666666666666664,0.0125
BALANCED,0.1,200,240,0.12390370046620047,0.07816498975928735,-0.15873953674052801,0.32748608637037596,0.486225623110904,-0.04573871070691313,0.12440470453899131,0.3388658216783216,0.17083333333333334,0.075,0.03333333333333333,0.5833333333333334,0.22916666666666666,0.37083333333333335,0.29583333333333334,0.4791666666666667,0.0875,0.029166666666666667
BALANCED,0.1,300,240,0.12390370046620047,0.08470604556522274,-0.1324376598006743,0.3227339394558476,0.4551715992565219,-0.03919765490097773,0.10907331229110898,0.31897945804195815,0.225,0.058333333333333334,0.020833333333333332,0.5791666666666667,0.25833333333333336,0.3625,0.25833333333333336,0.4666666666666667,0.07916666666666666,0.020833333333333332
BALANCED,0.1,400,240,0.12390370046620047,0.09550068257196456,-0.15501011946649637,0.32757477358623527,0.48258489305273167,-0.028403017894235903,0.10610841419304565,0.30232736013986017,0.26666666666666666,0.07083333333333333,0.025,0.6291666666666667,0.25833333333333336,0.4166666666666667,0.32083333333333336,0.5541666666666667,0.08333333333333333,0.025
BALANCED,0.2,200,240,0.20659965034965036,0.12602889414253507,-0.1377721729728031,0.32155846662601856,0.45933063959882164,-0.08057075620711526,0.14709089417308785,0.31790865384615385,0.325,0.0875,0.0375,0.7,0.3375,0.5333333333333333,0.4875,0.6625,0.15833333333333333,0.0375
BALANCED,0.2,300,240,0.20659965034965036,0.14059191346603894,-0.10981148207797503,0.3363558364035582,0.44616731848153324,-0.0660077368836114,0.1320449981015199,0.302076048951049,0.4375,0.12083333333333333,0.06666666666666667,0.7541666666666667,0.36666666666666664,0.625,0.5208333333333334,0.6958333333333333,0.1375,0.058333333333333334
BALANCED,0.2,400,240,0.20659965034965036,0.1500136323631759,-0.06510684628120293,0.3165246143705817,0.38163146065178466,-0.05658601798647446,0.11967141893165918,0.2804523601398602,0.5083333333333333,0.075,0.029166666666666667,0.8,0.39166666666666666,0.6208333333333333,0.5416666666666666,0.75,0.15416666666666667,0.029166666666666667
BALANCED,0.25,200,240,0.2531177156177156,0.17967315435495496,-0.10304981278137879,0.41215741638646525,0.515207229167844,-0.07344456126276068,0.14872718073792288,0.3210118006993007,0.48333333333333334,0.18333333333333332,0.1375,0.8041666666666667,0.45,0.7083333333333334,0.5833333333333334,0.7666666666666667,0.275,0.13333333333333333
BALANCED,0.25,300,240,0.2531177156177156,0.18973130686829712,-0.09187748565626071,0.40669405473527925,0.49857154039153995,-0.06338640874941848,0.13601606320331347,0.2963068181818182,0.55,0.16666666666666666,0.12083333333333333,0.825,0.48333333333333334,0.7208333333333333,0.6291666666666667,0.8125,0.2875,0.12083333333333333
BALANCED,0.25,400,240,0.2531177156177156,0.19466784657504158,-0.02191244533488053,0.38034341597023674,0.40225586130511726,-0.058449869042674046,0.12248179005225512,0.28214597902097904,0.6166666666666667,0.14583333333333334,0.10833333333333334,0.875,0.5041666666666667,0.7291666666666666,0.6833333333333333,0.8416666666666667,0.30833333333333335,0.1
BALANCED,0.3,200,240,0.30032637631375786,0.1954623537551175,-0.03629578559635754,0.38399525253485384,0.4202910381312114,-0.10486402255864036,0.15147102098118878,0.331479458041958,0.5125,0.14583333333333334,0.09166666666666666,0.8541666666666666,0.5041666666666667,0.7291666666666666,0.6541666666666667,0.8208333333333333,0.2916666666666667,0.09166666666666666
BALANCED,0.3,300,240,0.30032637631375786,0.212056136445322,-0.037128576853023024,0.4096501223807781,0.4467786992338011,-0.08827023986843587,0.13975052904739935,0.3095498251748252,0.625,0.175,0.11666666666666667,0.8916666666666667,0.5208333333333334,0.7916666666666666,0.7125,0.8541666666666666,0.3541666666666667,0.10416666666666667
BALANCED,0.3,400,240,0.30032637631375786,0.2179326419475186,-0.05797073798676151,0.40501420758910006,0.46298494557586156,-0.08239373436623922,0.13893154695584908,0.29405594405594404,0.6916666666666667,0.17916666666666667,0.12083333333333333,0.8833333333333333,0.5375,0.7791666666666667,0.7416666666666667,0.8666666666666667,0.4125,0.11666666666666667
