bank,axis,mean,variance,min,max,mean_absolute,q10_absolute,signs
all_40,0,-0.0015039120131661227,0.10733080205174961,-0.5665781217625957,0.7215060787891832,0.2690282974370229,0.04545959318056144,"{'negative': 22, 'zero': 0, 'positive': 18}"
all_40,1,0.0875054786515235,0.15316187544046395,-0.625880753949159,0.8243888197865678,0.3415018025407329,0.062327615019260665,"{'negative': 17, 'zero': 0, 'positive': 23}"
all_40,2,-0.07268592381258125,0.07669206706172907,-0.8638039749782926,0.5167937799691362,0.21889649920154,0.029746515297272333,"{'negative': 27, 'zero': 0, 'positive': 13}"
all_40,3,0.09371390531984206,0.118641012521823,-0.7340191939871024,0.7197307563447873,0.3034118098591906,0.08737932688502117,"{'negative': 17, 'zero': 0, 'positive': 23}"
all_40,4,-0.1307119393926163,0.12965583499251943,-0.9060528646571051,0.6669036112189849,0.31106345957796716,0.04801260929973582,"{'negative': 26, 'zero': 0, 'positive': 14}"
all_40,5,0.01988566120860629,0.13781662507616682,-0.6218667705587232,0.7430423917613378,0.304327863282703,0.04329488060064911,"{'negative': 18, 'zero': 0, 'positive': 22}"
all_40,6,-0.04347229777064163,0.08644903015361248,-0.8122403769376065,0.714908205645236,0.22054921771721583,0.016123825420647466,"{'negative': 22, 'zero': 0, 'positive': 18}"
all_40,7,0.045702861993021655,0.17160182654249437,-0.6437888151136527,0.7337261309846171,0.35232330915751386,0.07380027732744483,"{'negative': 19, 'zero': 0, 'positive': 21}"
safe_31,0,-0.017321588394389638,0.11722122360165914,-0.5665781217625957,0.7215060787891832,0.2782159126837915,0.05006161496005473,"{'negative': 19, 'zero': 0, 'positive': 12}"
safe_31,1,0.06138668899814885,0.15513939994436254,-0.625880753949159,0.7335272919711437,0.3381776079394856,0.060628267897940895,"{'negative': 13, 'zero': 0, 'positive': 18}"
safe_31,2,-0.04491579249793112,0.06985623621225832,-0.8638039749782926,0.4102463951161781,0.2002330652598691,0.03172794839302279,"{'negative': 19, 'zero': 0, 'positive': 12}"
safe_31,3,0.09030450309826996,0.11516975848417947,-0.7340191939871024,0.7091512664299223,0.2978524231220137,0.054466043697262455,"{'negative': 13, 'zero': 0, 'positive': 18}"
safe_31,4,-0.05688190780009446,0.1205638904418208,-0.6657267999723883,0.6669036112189849,0.2895935467489343,0.04608186817387331,"{'negative': 17, 'zero': 0, 'positive': 14}"
safe_31,5,0.015922307084431726,0.14751912852793064,-0.6218667705587232,0.7430423917613378,0.319403596850794,0.045511528413711914,"{'negative': 13, 'zero': 0, 'positive': 18}"
safe_31,6,-0.07411932334316153,0.0996700275967039,-0.8122403769376065,0.714908205645236,0.246921174102067,0.019728730940412425,"{'negative': 18, 'zero': 0, 'positive': 13}"
safe_31,7,0.09114494694502978,0.17561179902553492,-0.6437888151136527,0.7337261309846171,0.362290135212888,0.10091025189003137,"{'negative': 13, 'zero': 0, 'positive': 18}"
