K,N,target_rho,mean_true_rho,omnibus_rate,a2_attribution_rate,a2_superiority_rate,radial_rate,a2_rho_mean,a0_rho_mean,a1_rho_mean,a2_minus_best_static_mean,a2_rho_mc95_width,replicates,qap_permutations
16,200,0.0,0.044183971109104804,0.041666666666666664,0.03333333333333333,0.0,0.6083333333333333,0.024440616793671058,0.01759678035314151,0.01678770115817739,0.0020081254162518975,0.19067237019667735,120,499
16,200,0.1,0.09808198486005976,0.15,0.09166666666666666,0.0,0.5666666666666667,0.050044760790833996,0.044535166329479514,0.04191739561250995,0.0011546057742830543,0.17465940372976094,120,499
16,200,0.2,0.18417861772808303,0.3333333333333333,0.25,0.0,0.5166666666666667,0.09033373932161595,0.08454362876175837,0.08094389526785763,0.001577447461231623,0.16269223835174157,120,499
16,200,0.25,0.23427078269324264,0.43333333333333335,0.4083333333333333,0.008333333333333333,0.5833333333333334,0.10520304719596316,0.09028116885284937,0.0843420943573149,0.01198019677952273,0.20103843240267547,120,499
16,200,0.3,0.2771206333773179,0.6833333333333333,0.5583333333333333,0.0,0.475,0.12950142045700344,0.11267343407422253,0.10667153047247267,0.01388928830454308,0.2137779881446757,120,499
16,200,0.4,0.37228404171585994,0.8333333333333334,0.7833333333333333,0.0,0.5916666666666667,0.16875843999741882,0.14761505913615502,0.1387033683976223,0.019144352900671853,0.21876366824041613,120,499
16,300,0.0,0.04787042502951595,0.075,0.05,0.0,0.725,0.028878739919165407,0.021198645938462546,0.02037291558396328,0.0015975587422522545,0.19352975379723764,120,499
16,300,0.1,0.11036813899113367,0.11666666666666667,0.075,0.0,0.7666666666666667,0.06290355762475129,0.060363621358659816,0.055237641334346915,-0.00115586403557822,0.18526228013465082,120,499
16,300,0.2,0.19159090909090912,0.39166666666666666,0.2833333333333333,0.0,0.7416666666666667,0.10359365852711487,0.09421391809000855,0.08807038740371884,0.005551565511579715,0.17269437568807283,120,499
16,300,0.25,0.23646618978169787,0.525,0.4583333333333333,0.008333333333333333,0.75,0.12175045849899052,0.10307375328879619,0.09778485428885955,0.014297753260272654,0.203910264564341,120,499
16,300,0.3,0.2806214841308425,0.7166666666666667,0.6833333333333333,0.0,0.775,0.15152381073166932,0.13171466607781732,0.12465177496628935,0.016387510923708246,0.21538591712126814,120,499
16,300,0.4,0.37713915318193403,0.9333333333333333,0.9333333333333333,0.0,0.7583333333333333,0.19346410631418423,0.17381155994555153,0.1656882484630024,0.017515220175727524,0.20813910697041438,120,499
20,200,0.0,0.022270641700236626,0.06666666666666667,0.025,0.016666666666666666,0.5416666666666666,0.0017448258897588334,0.0003330910088585321,-0.00155853361869051,-0.005081683985824511,0.2316197139610547,120,499
20,200,0.1,0.09313380892603819,0.11666666666666667,0.075,0.016666666666666666,0.525,0.045542989937863196,0.03106709142575965,0.028561485011969145,0.0075199338144648405,0.21151916823773342,120,499
20,200,0.2,0.18432015903633428,0.35,0.3,0.05,0.6083333333333333,0.09167789836172688,0.06276598620249149,0.05962005608510413,0.021601512290767434,0.22519354162622074,120,499
20,200,0.25,0.2341695279501838,0.5083333333333333,0.44166666666666665,0.041666666666666664,0.5916666666666667,0.10930591355865418,0.08110531344063004,0.07422611784901054,0.022245798983664144,0.21401362252063919,120,499
20,200,0.3,0.2758046949835321,0.6583333333333333,0.6333333333333333,0.06666666666666667,0.625,0.14127242525504605,0.09935702511503504,0.09301577476312119,0.03603723771659843,0.23177404319874417,120,499
20,200,0.4,0.36366707198479037,0.7916666666666666,0.775,0.06666666666666667,0.5583333333333333,0.16289941254946824,0.12282079280102336,0.11439083136520424,0.03621529508565606,0.25457973864833294,120,499
20,300,0.0,0.025712310152927405,0.03333333333333333,0.008333333333333333,0.0,0.725,0.02127273006088392,0.01360520800510981,0.013766188411004302,-0.0013360400074531552,0.18028576508344132,120,499
20,300,0.1,0.0997421783078989,0.15,0.09166666666666666,0.025,0.6916666666666667,0.05527130677435817,0.04361004808181763,0.03935237379300666,0.005302861622787163,0.1814499219024872,120,499
20,300,0.2,0.19036498313847447,0.325,0.2916666666666667,0.016666666666666666,0.7,0.09281409657683355,0.07270242662178798,0.06562747957711404,0.014398892596434305,0.20647592090100747,120,499
20,300,0.25,0.23777834638953402,0.5583333333333333,0.48333333333333334,0.041666666666666664,0.7166666666666667,0.11693542770837043,0.08364847106997357,0.07897714248174022,0.02759161692306679,0.21530837964148264,120,499
20,300,0.3,0.28981352450352177,0.7166666666666667,0.675,0.08333333333333333,0.7,0.14702933004648625,0.10550683507567499,0.0991483103611255,0.035491673194615755,0.2017822566617048,120,499
20,300,0.4,0.3745803426541922,0.9166666666666666,0.8916666666666667,0.1,0.775,0.18603221972982073,0.14080328316300134,0.12862900249146533,0.04192093350264101,0.22148028033540967,120,499
