scenario,seed_regime,discordance,gain,N,R,t_power,signflip_power,t_ci_coverage,mean_half_width,mean_estimate,degenerate_fraction,utility_trajectories_max,full_bank_trajectories,expected_generated_tokens_utility,expected_storage_bytes_utility,observed_rate_hours_utility,frozen_p50_hours_utility,frozen_p80_hours_utility,frozen_p95_hours_utility,realized_mean,realized_sd,nonzero_fraction
REGULAR,INDEPENDENT,0.2,0.01,23,1,0.0674,0.0674,0.9566,0.18826789782202327,0.010530434782608697,0.004,46,184,914.321875,306590.0239583333,0.022576931699358302,0.023383333333333332,0.026473958333333335,0.029828124999999997,0.010000000000000009,0.4462230384012013,0.199215
REGULAR,INDEPENDENT,0.2,0.01,100,1,0.0781,0.0781,0.952,0.08805442740784439,0.010372,0.0,200,800,3975.3124999999995,1333000.1041666667,0.09816057260590565,0.10166666666666667,0.11510416666666666,0.1296875,0.010000000000000009,0.4462230384012013,0.199215
REGULAR,INDEPENDENT,0.2,0.01,250,1,0.0952,0.0952,0.9482,0.05545356173246381,0.0098384,0.0,500,2000,9938.28125,3332500.2604166665,0.24540143151476412,0.25416666666666665,0.2877604166666667,0.32421875,0.010000000000000009,0.4462230384012013,0.199215
REGULAR,INDEPENDENT,0.2,0.01,400,1,0.1198,0.1198,0.9454,0.043818683319240395,0.010011500000000001,0.0,800,3200,15901.249999999998,5332000.416666667,0.3926422904236226,0.4066666666666667,0.46041666666666664,0.51875,0.010000000000000009,0.4462230384012013,0.199215
REGULAR,INDEPENDENT,0.2,0.01,500,1,0.1259,0.1259,0.9508,0.03919617726329169,0.0101864,0.0,1000,4000,19876.5625,6665000.520833333,0.49080286302952825,0.5083333333333333,0.5755208333333334,0.6484375,0.010000000000000009,0.4462230384012013,0.199215
REGULAR,INDEPENDENT,0.2,0.01,800,1,0.1525,0.1525,0.9546,0.030962795465369886,0.0099785,0.0,1600,6400,31802.499999999996,10664000.833333334,0.7852845808472452,0.8133333333333334,0.9208333333333333,1.0375,0.010000000000000009,0.4462230384012013,0.199215
REGULAR,INDEPENDENT,0.2,0.01,1000,1,0.1774,0.1774,0.9477,0.02767503325059044,0.010077500000000001,0.0,2000,8000,39753.125,13330001.041666666,0.9816057260590565,1.0166666666666666,1.1510416666666667,1.296875,0.010000000000000009,0.4462230384012013,0.199215
REGULAR,INDEPENDENT,0.2,0.01,1200,1,0.1937,0.1945,0.9508,0.025246274838687497,0.010060583333333333,0.0,2400,9600,47703.75,15996001.25,1.177926871270868,1.22,1.38125,1.55625,0.010000000000000009,0.4462230384012013,0.199215
REGULAR,INDEPENDENT,0.2,0.01,23,2,0.0694,0.0694,0.945,0.13388498475501795,0.010219565217391303,0.0001,92,368,1828.64375,613180.0479166666,0.045153863398716604,0.046766666666666665,0.05294791666666667,0.059656249999999994,0.010000000000000002,0.31553724027442465,0.34000499999999995
REGULAR,INDEPENDENT,0.2,0.01,100,2,0.0893,0.0893,0.9523,0.0623163754466319,0.009588000000000001,0.0,400,1600,7950.624999999999,2666000.2083333335,0.1963211452118113,0.20333333333333334,0.23020833333333332,0.259375,0.010000000000000002,0.31553724027442465,0.34000499999999995
REGULAR,INDEPENDENT,0.2,0.01,250,2,0.1315,0.1315,0.9478,0.03921302235801618,0.010269600000000002,0.0,1000,4000,19876.5625,6665000.520833333,0.49080286302952825,0.5083333333333333,0.5755208333333334,0.6484375,0.010000000000000002,0.31553724027442465,0.34000499999999995
REGULAR,INDEPENDENT,0.2,0.01,400,2,0.1561,0.1561,0.9535,0.030974144700552313,0.00972025,0.0,1600,6400,31802.499999999996,10664000.833333334,0.7852845808472452,0.8133333333333334,0.9208333333333333,1.0375,0.010000000000000002,0.31553724027442465,0.34000499999999995
REGULAR,INDEPENDENT,0.2,0.01,500,2,0.1769,0.177,0.9486,0.027702405898139028,0.0100185,0.0,2000,8000,39753.125,13330001.041666666,0.9816057260590565,1.0166666666666666,1.1510416666666667,1.296875,0.010000000000000002,0.31553724027442465,0.34000499999999995
REGULAR,INDEPENDENT,0.2,0.01,800,2,0.2253,0.2253,0.9543,0.021882485213783838,0.0100816875,0.0,3200,12800,63604.99999999999,21328001.666666668,1.5705691616944903,1.6266666666666667,1.8416666666666666,2.075,0.010000000000000002,0.31553724027442465,0.34000499999999995
REGULAR,INDEPENDENT,0.2,0.01,1000,2,0.2644,0.2644,0.9533,0.019571341001950317,0.01005925,0.0,4000,16000,79506.25,26660002.083333332,1.963211452118113,2.033333333333333,2.3020833333333335,2.59375,0.010000000000000002,0.31553724027442465,0.34000499999999995
REGULAR,INDEPENDENT,0.2,0.01,1200,2,0.291,0.291,0.9521,0.017861801219557633,0.009955625,0.0,4800,19200,95407.5,31992002.5,2.355853742541736,2.44,2.7625,3.1125,0.010000000000000002,0.31553724027442465,0.34000499999999995
REGULAR,INDEPENDENT,0.2,0.01,23,4,0.0738,0.0738,0.9484,0.09505179373574107,0.009382608695652174,0.0,184,736,3657.2875,1226360.0958333332,0.09030772679743321,0.09353333333333333,0.10589583333333334,0.11931249999999999,0.009999999999999998,0.2237213668830047,0.51319
REGULAR,INDEPENDENT,0.2,0.01,100,4,0.1159,0.1159,0.9486,0.04424273883218603,0.0097825,0.0,800,3200,15901.249999999998,5332000.416666667,0.3926422904236226,0.4066666666666667,0.46041666666666664,0.51875,0.009999999999999998,0.2237213668830047,0.51319
